Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
13:46:32,442,188,1768000,752000,6.21,11.87,5.73,11.87,88.31,37.56,353246.75,150249.75,100%,100%,0,0,0
13:46:37,370,190,1480000,760000,6.94,12.75,6.41,12.75,73.85,37.92,295409.18,151696.61,100%,100%,1,1,1
13:46:42,405,166,1620000,664000,6.94,13.13,6.46,13.13,80.87,33.15,323482.43,132587.86,100%,100%,2,2,2
13:46:47,402,165,1608000,660000,7.05,13.04,6.49,13.04,80.4,33,321600,132000,100%,100%,3,3,3
13:46:52,368,180,1472000,720000,7.04,13.28,6.51,13.28,73.6,36,294400,144000,100%,100%,4,4,4
13:46:57,387,183,1548000,732000,6.84,12.74,6.36,12.74,77.38,36.59,309538.09,146370.73,100%,100%,5,5,5
13:47:02,390,178,1560000,712000,6.83,13.01,6.34,13.01,78,35.6,312000,142400,100%,100%,6,6,6
13:47:07,374,172,1496000,688000,7.12,13.53,6.59,13.53,74.67,34.34,298662.41,137352.77,100%,100%,7,7,7
13:47:12,384,173,1536000,692000,6.98,13.32,6.43,13.32,76.71,34.56,306831.8,138234.12,100%,100%,8,8,8
13:47:17,367,174,1468000,696000,7.13,13.61,6.6,13.61,73.34,34.77,293365.31,139088.73,100%,100%,9,9,9
13:47:22,379,182,1516000,728000,6.84,13.14,6.23,13.14,75.69,36.35,302776.11,145396.44,100%,100%,10,10,10
13:47:27,413,159,1652000,636000,6.9,13.43,6.4,13.43,82.58,31.79,330333.93,127174.57,100%,100%,11,11,11
13:47:32,408,172,1632000,688000,6.81,12.84,6.34,12.84,81.4,34.32,325618.52,137270.55,100%,100%,12,12,12
13:47:37,389,169,1556000,676000,7.02,13.37,6.5,13.37,77.71,33.76,310827.01,135037.95,100%,100%,13,13,13
13:47:42,384,171,1536000,684000,6.96,13.5,6.42,13.5,76.74,34.17,306954.44,136690.65,100%,100%,14,14,14
13:47:47,387,162,1548000,648000,7.15,13.7,6.61,13.7,77.4,32.4,309600,129600,100%,100%,15,15,15
13:47:52,366,188,1464000,752000,6.89,13.11,6.44,13.11,73.14,37.57,292565.95,150279.78,100%,100%,16,16,16
13:47:57,415,156,1660000,624000,7,13.31,6.5,13.31,82.95,31.18,331800.92,124725.16,100%,100%,17,17,17
13:48:02,403,167,1612000,668000,6.89,13.25,6.41,13.25,80.55,33.38,322206.68,133519.89,100%,100%,18,18,18
13:48:07,397,153,1588000,612000,7.12,14.06,6.61,14.06,79.37,30.59,317473.01,122351.06,100%,100%,19,19,19
13:48:12,357,183,1428000,732000,6.99,13.61,6.54,13.61,71.3,36.55,285200.72,146195.33,100%,100%,20,20,20
13:48:17,389,163,1556000,652000,7.13,13.54,6.61,13.54,77.78,32.59,311137.77,130373.93,100%,100%,21,21,21
13:48:22,367,179,1468000,716000,7.04,13.38,6.53,13.38,73.34,35.77,293365.31,143085.53,100%,100%,22,22,22
13:48:27,408,160,1632000,640000,7,13.35,6.6,13.35,81.49,31.96,325943.68,127821.05,100%,100%,23,23,23
13:48:32,414,171,1656000,684000,6.68,12.95,6.19,12.95,82.77,34.19,331067.57,136745.3,100%,100%,24,24,24
13:48:37,394,173,1576000,692000,6.87,13.17,6.36,13.17,78.74,34.57,314948.04,138289.37,100%,100%,25,25,25
13:48:42,416,153,1664000,612000,7.02,13.52,6.51,13.52,83.2,30.6,332800,122400,100%,100%,26,26,26
13:48:47,391,165,1564000,660000,6.89,13.28,6.37,13.28,79.86,33.7,319444.44,134803.92,100%,100%,27,27,27
