Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
13:53:41,1034,402,4136000,1608000,49.42,73.24,48.19,73.24,205.27,79.8,821087.99,319216.8,100%,100%,0,0,0
13:53:46,898,400,3592000,1600000,53.44,80.94,52.08,80.94,178.73,79.61,714917.05,318423.55,100%,100%,1,1,1
13:53:51,911,391,3644000,1564000,53.06,82.38,51.77,82.38,180.86,77.64,723440.49,310544.68,100%,100%,2,2,2
13:53:56,912,378,3648000,1512000,53.19,84.36,51.8,84.36,181.43,75.18,725706.51,300705.34,100%,100%,3,3,3
13:54:01,666,294,2664000,1176000,53.26,84.33,51.93,84.33,132.53,58.51,530134.11,234038.88,100%,100%,4,4,4
13:54:06,845,366,3380000,1464000,53.28,83.29,51.89,83.29,210.84,92.98,843365.85,371915.25,100%,100%,5,5,5
13:54:11,732,346,2928000,1384000,54.7,87.68,53.39,87.68,153.85,74.54,615384.13,298175.18,100%,100%,6,6,6
13:54:16,519,237,2076000,948000,56.86,88.18,55.46,88.18,123.05,56.69,492196.85,226772.91,100%,100%,7,7,7
13:54:21,774,355,3096000,1420000,56.7,89.34,55.28,89.34,213.62,100.09,854463.38,400346.35,100%,100%,8,8,8
13:54:26,885,313,3540000,1252000,54.2,87.81,52.96,87.81,186.97,66.36,747868.95,265437.78,100%,100%,9,9,9
13:54:31,880,374,3520000,1496000,54.59,86.73,53.29,86.73,185.4,79.31,741588.49,317229.61,100%,100%,10,10,10
13:54:36,809,346,3236000,1384000,54.77,90.18,53.5,90.17,160.62,68.7,642485.56,274785.3,100%,100%,11,11,11
13:54:41,838,389,3352000,1556000,55.23,88.34,53.77,88.34,178.06,81.48,712229.6,325930.86,100%,100%,12,12,12
13:54:46,864,379,3456000,1516000,55.26,86.63,53.9,86.63,171.51,75.21,686023.74,300830.39,100%,100%,13,13,13
13:54:51,847,389,3388000,1556000,54.75,87.47,53.4,87.47,168.46,77.38,673832.21,309535.67,100%,100%,14,14,14
13:54:56,887,363,3548000,1452000,54.7,88.12,53.29,88.12,176.21,72.11,704857.48,288423.92,100%,100%,15,15,15
13:55:01,844,383,3376000,1532000,55,88.88,53.69,88.88,167.73,76.15,670914.89,304612.74,100%,100%,16,16,16
13:55:06,828,373,3312000,1492000,56.63,90.27,55.28,90.27,164.36,74.05,657424.68,296213.1,100%,100%,17,17,17
13:55:11,832,364,3328000,1456000,56.96,91.05,55.71,91.05,165.17,72.27,660675.26,289099.68,100%,100%,18,18,18
13:55:16,857,368,3428000,1472000,55.94,88.72,54.5,88.72,170.11,73.01,680423.09,292059.52,100%,100%,19,19,19
13:55:21,834,350,3336000,1400000,57.76,92.67,56.25,92.67,165.5,69.44,661983.63,277763.97,100%,100%,20,20,20
13:55:26,863,364,3452000,1456000,55.64,89.41,54.27,89.41,171.29,72.27,685141.37,289061.61,100%,100%,21,21,21
13:55:31,810,372,3240000,1488000,56.42,93.22,55.07,93.22,161.19,74.02,644742.05,296067.02,100%,100%,22,22,22
13:55:36,864,363,3456000,1452000,55.46,89.61,54.13,89.61,171.76,72.18,687048.89,288735.98,100%,100%,23,23,23
13:55:41,836,376,3344000,1504000,56.03,89.81,54.81,89.81,165.84,74.6,663379.7,298409.45,100%,100%,24,24,24
13:55:46,834,380,3336000,1520000,55.73,90.09,54.51,90.09,165.26,75.28,661021.76,301114.15,100%,100%,25,25,25
13:55:51,839,367,3356000,1468000,56,91.8,54.72,91.8,166.33,72.77,665303.55,291081.93,100%,100%,26,26,26
13:55:56,685,297,2740000,1188000,56.31,89.51,54.96,89.51,168.07,72.95,672270.43,291801.03,100%,100%,27,27,27
