Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,583,37312000,120.61,115.09,4.86,311260.16,100%
write,write,239,15296000,207.23,204.77,1.99,127600.65,100%
read,read,543,34752000,128.52,123.03,4.53,289964.87,100%
write,write,222,14208000,225.4,223.14,1.85,118549.17,100%
read,read,548,35072000,123.99,117.94,4.57,292583.63,100%
write,write,248,15872000,209.26,206.94,2.07,132410.11,100%
read,read,529,33856000,127.13,121.58,4.42,282703.45,100%
write,write,235,15040000,223.37,221.1,1.96,125586.6,100%
read,read,585,37440000,115.24,109.53,4.88,312330.55,100%
write,write,249,15936000,210.58,208.18,2.08,132940.7,100%
read,read,586,37504000,117.49,112.38,4.89,312864.45,100%
write,write,245,15680000,208.18,205.81,2.04,130805.1,100%
read,read,581,37184000,117.82,111.99,4.85,310371.02,100%
write,write,249,15936000,206.1,203.78,2.08,133016.15,100%
read,read,548,35072000,120.95,115.34,4.57,292349.5,100%
write,write,256,16384000,209.6,207.05,2.13,136572.03,100%
read,read,561,35904000,125.38,118.64,4.68,299462.03,100%
write,write,227,14528000,218.18,215.82,1.89,121172.69,100%
read,read,563,36032000,125.31,119.59,4.7,300697.67,100%
write,write,228,14592000,216.07,213.73,1.9,121774.54,100%
read,read,550,35200000,122.97,117.52,4.59,293504.54,100%
write,write,250,16000000,209.09,206.62,2.08,133411.16,100%
read,read,559,35776000,123.59,117.75,4.66,298212.86,100%
write,write,244,15616000,208.41,206.09,2.03,130168.04,100%
read,read,568,36352000,122.38,117.1,4.74,303545.48,100%
write,write,234,14976000,214.59,212.08,1.95,125052.19,100%
read,read,569,36416000,122.83,116.57,4.75,304100.21,100%
write,write,237,15168000,210.28,207.89,1.98,126663.88,100%
read,read,572,36608000,122.69,116.79,4.77,305412.8,100%
write,write,242,15488000,205.2,202.79,2.02,129213.11,100%
read,read,577,36928000,117.02,111.49,4.81,307936.06,100%
write,write,253,16192000,207.04,204.72,2.11,135022.22,100%
read,read,594,38016000,116.42,110.9,4.95,317013.98,100%
write,write,250,16000000,202.96,200.67,2.08,133423.39,100%
read,read,515,32960000,126.57,121.01,4.3,275143.58,100%
write,write,252,16128000,216.58,214.24,2.1,134633.36,100%
read,read,565,36160000,123.26,117.67,4.71,301373.52,100%
write,write,232,14848000,216.88,214.46,1.93,123749.83,100%
read,read,547,35008000,118.16,112.19,4.57,292413.19,100%
write,write,267,17088000,206.22,203.83,2.23,142731.85,100%
read,read,589,37696000,119.48,113.48,4.92,314812.8,100%
write,write,239,15296000,206.44,204.18,2,127742.38,100%
read,read,554,35456000,121.24,115.9,4.62,295806.84,100%
write,write,258,16512000,204.11,201.79,2.15,137758.42,100%
read,read,607,38848000,119.81,114.43,5.07,324666.75,100%
write,write,223,14272000,210.26,207.96,1.86,119276.25,100%
read,read,591,37824000,116.56,110.94,4.93,315528.68,100%
write,write,253,16192000,201.45,199.13,2.11,135074.04,100%
read,read,602,38528000,116.66,110.82,5.02,321489.96,100%
write,write,242,15488000,204.86,202.48,2.02,129236.83,100%
read,read,602,38528000,116.81,111.52,5.02,321594.62,100%
write,write,246,15744000,201,198.56,2.05,131415.74,100%
read,read,572,36608000,121.2,115.13,4.78,305660.16,100%
write,write,241,15424000,209.16,206.8,2.01,128783.39,100%
read,read,567,36288000,115.58,109.74,4.73,302925.07,100%
write,write,255,16320000,212.66,210.25,2.13,136236.14,100%
read,read,536,34304000,124.47,118.62,4.47,286186.24,100%
write,write,251,16064000,211.61,209.29,2.09,134016.32,100%
read,read,568,36352000,119.2,113.83,4.74,303264.4,100%
write,write,244,15616000,213.68,211.25,2.04,130275.55,100%
read,read,561,35904000,119.12,113.59,4.68,299506.99,100%
write,write,256,16384000,207.12,204.71,2.14,136673.42,100%
read,read,589,37696000,124.09,118.07,4.91,314445.16,100%
write,write,220,14080000,212.58,210.21,1.84,117449.8,100%
