Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,880,0,53.59,53.59,18.66,0,100%
cleanup,delete,880,0,53.71,53.71,18.62,0,100%
cleanup,delete,880,0,53.66,53.66,18.63,0,100%
cleanup,delete,880,0,53.84,53.84,18.57,0,100%
cleanup,delete,880,0,53.93,53.93,18.54,0,100%
cleanup,delete,880,0,53.7,53.7,18.62,0,100%
cleanup,delete,880,0,53.59,53.59,18.66,0,100%
cleanup,delete,880,0,53.57,53.57,18.67,0,100%
cleanup,delete,870,0,53.37,53.37,18.74,0,100%
cleanup,delete,870,0,54.38,54.38,18.39,0,100%
cleanup,delete,870,0,52.85,52.85,18.92,0,100%
cleanup,delete,870,0,54.37,54.37,18.39,0,100%
cleanup,delete,870,0,54.18,54.18,18.45,0,100%
cleanup,delete,870,0,53.69,53.69,18.62,0,100%
cleanup,delete,870,0,54.45,54.45,18.36,0,100%
cleanup,delete,870,0,53.52,53.52,18.68,0,100%
