Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
09:54:23,2220,0,36.23,36.23,441.62,0,100%,0,0,0
09:54:28,1593,0,50.44,50.44,317.16,0,100%,1,1,1
09:54:33,1473,0,54.54,54.54,293.34,0,100%,2,2,2
09:54:38,1460,0,55.16,55.16,290.03,0,100%,3,3,3
09:54:43,1334,0,56.59,56.59,265.04,0,100%,4,4,4
09:54:48,1258,0,59.89,59.89,267.44,0,100%,5,5,5
09:54:53,941,0,58.85,58.85,203.72,0,100%,6,6,6
09:54:58,1016,0,59.43,59.43,286.61,0,100%,7,7,7
09:55:03,999,0,60.5,60.5,264.2,0,100%,8,8,8
09:55:08,498,0,57.39,57.39,343.54,0,100%,9,9,9
