Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,320,40960000,74.42,69.34,13.43,1718409.13,100%
prepare,write,320,40960000,74.59,69.31,13.39,1713950.96,100%
prepare,write,320,40960000,74.85,69.72,13.34,1707591.61,100%
prepare,write,320,40960000,73.68,68.53,13.56,1735225.59,100%
prepare,write,310,39680000,74.9,69.73,13.34,1706886.91,100%
prepare,write,310,39680000,74.72,69.61,13.36,1710492.28,100%
prepare,write,310,39680000,73.55,68.38,13.58,1738216.23,100%
prepare,write,310,39680000,75.23,70,13.28,1699721.57,100%
prepare,write,310,39680000,76.27,70.88,13.09,1675109.76,100%
prepare,write,310,39680000,75.39,70.34,13.25,1696088.91,100%
prepare,write,310,39680000,75.73,70.44,13.19,1688869.97,100%
prepare,write,310,39680000,76.3,71.17,13.1,1676312.79,100%
prepare,write,310,39680000,76.47,71.18,13.07,1672567.86,100%
prepare,write,310,39680000,75.75,70.63,13.19,1688007.83,100%
prepare,write,310,39680000,75.4,70.15,13.25,1695798.97,100%
prepare,write,310,39680000,74.15,68.95,13.47,1724542.57,100%
