Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:31:52,submitting @ 2017-11-17 09:31:52,authing @ 2017-11-17 09:31:52,launching @ 2017-11-17 09:31:52,running @ 2017-11-17 09:31:52,closing @ 2017-11-17 09:31:57,completed @ 2017-11-17 09:31:57
s2-prepare,prepare-write,prepare,5000,640000000,75.08,69.89,90,100,110,110,130,310,212.87,27247792.93,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:31:59,submitting @ 2017-11-17 09:31:59,authing @ 2017-11-17 09:32:00,launching @ 2017-11-17 09:32:00,running @ 2017-11-17 09:32:00,closing @ 2017-11-17 09:32:25,completed @ 2017-11-17 09:32:25
s3-main-1worker,read,read,6709,858752000,10.72,7.72,20,20,20,20,30,220,55.91,7157101.66,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:32:28,submitting @ 2017-11-17 09:32:28,authing @ 2017-11-17 09:32:28,launching @ 2017-11-17 09:32:28,running @ 2017-11-17 09:32:28,closing @ 2017-11-17 09:34:48,completed @ 2017-11-17 09:34:48
s3-main-1worker,write,write,2836,363008000,16.81,12.59,20,20,20,20,30,40,23.64,3025419.63,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:32:28,submitting @ 2017-11-17 09:32:28,authing @ 2017-11-17 09:32:28,launching @ 2017-11-17 09:32:28,running @ 2017-11-17 09:32:28,closing @ 2017-11-17 09:34:48,completed @ 2017-11-17 09:34:48
s4-main-4workers,read,read,15883,2033024000,17.99,13.79,20,30,30,30,60,270,132.45,16953065.81,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:34:50,submitting @ 2017-11-17 09:34:50,authing @ 2017-11-17 09:34:50,launching @ 2017-11-17 09:34:51,running @ 2017-11-17 09:34:51,closing @ 2017-11-17 09:37:11,completed @ 2017-11-17 09:37:11
s4-main-4workers,write,write,6772,866816000,28.54,24.11,30,40,40,40,50,280,56.47,7228207.49,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:34:50,submitting @ 2017-11-17 09:34:50,authing @ 2017-11-17 09:34:50,launching @ 2017-11-17 09:34:51,running @ 2017-11-17 09:34:51,closing @ 2017-11-17 09:37:11,completed @ 2017-11-17 09:37:11
s5-main-8workers,read,read,17254,2208512000,32.54,27.07,40,40,50,50,90,280,143.84,18411424.75,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:37:13,submitting @ 2017-11-17 09:37:13,authing @ 2017-11-17 09:37:13,launching @ 2017-11-17 09:37:14,running @ 2017-11-17 09:37:14,closing @ 2017-11-17 09:39:34,completed @ 2017-11-17 09:39:34
s5-main-8workers,write,write,7501,960128000,52.98,48.28,60,70,70,80,90,310,62.53,8004170.93,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:37:13,submitting @ 2017-11-17 09:37:13,authing @ 2017-11-17 09:37:13,launching @ 2017-11-17 09:37:14,running @ 2017-11-17 09:37:14,closing @ 2017-11-17 09:39:34,completed @ 2017-11-17 09:39:34
s6-main-16workers,read,read,17756,2272768000,62.82,54.55,70,80,90,100,230,470,148.07,18953023.84,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:39:36,submitting @ 2017-11-17 09:39:36,authing @ 2017-11-17 09:39:37,launching @ 2017-11-17 09:39:37,running @ 2017-11-17 09:39:37,closing @ 2017-11-17 09:41:57,completed @ 2017-11-17 09:41:57
s6-main-16workers,write,write,7540,965120000,106.42,101.58,110,130,140,150,200,350,62.88,8048387.6,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:39:36,submitting @ 2017-11-17 09:39:36,authing @ 2017-11-17 09:39:37,launching @ 2017-11-17 09:39:37,running @ 2017-11-17 09:39:37,closing @ 2017-11-17 09:41:57,completed @ 2017-11-17 09:41:57
s7-main-32workers,read,read,18617,2382976000,122.06,114.77,130,190,230,290,410,830,155.47,19899704.64,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:41:59,submitting @ 2017-11-17 09:41:59,authing @ 2017-11-17 09:42:00,launching @ 2017-11-17 09:42:00,running @ 2017-11-17 09:42:00,closing @ 2017-11-17 09:44:20,completed @ 2017-11-17 09:44:20
s7-main-32workers,write,write,7965,1019520000,195.68,190.75,200,270,320,390,530,960,66.51,8513773.6,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:41:59,submitting @ 2017-11-17 09:41:59,authing @ 2017-11-17 09:42:00,launching @ 2017-11-17 09:42:00,running @ 2017-11-17 09:42:00,closing @ 2017-11-17 09:44:20,completed @ 2017-11-17 09:44:20
s8-main-64workers,read,read,19237,2462336000,227.69,220.27,220,360,530,770,1190,1700,161.17,20629448.95,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:44:23,submitting @ 2017-11-17 09:44:23,authing @ 2017-11-17 09:44:23,launching @ 2017-11-17 09:44:23,running @ 2017-11-17 09:44:24,closing @ 2017-11-17 09:46:44,completed @ 2017-11-17 09:46:44
s8-main-64workers,write,write,8150,1043200000,399.79,394.74,350,560,820,1210,2010,3010,68.28,8739698.22,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:44:23,submitting @ 2017-11-17 09:44:23,authing @ 2017-11-17 09:44:23,launching @ 2017-11-17 09:44:23,running @ 2017-11-17 09:44:24,closing @ 2017-11-17 09:46:44,completed @ 2017-11-17 09:46:44
s9-main-128workers,read,read,20739,2654592000,385.77,378.88,250,600,900,1520,3250,3850,175.13,22416361.2,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:46:46,submitting @ 2017-11-17 09:46:46,authing @ 2017-11-17 09:46:47,launching @ 2017-11-17 09:46:47,running @ 2017-11-17 09:46:47,closing @ 2017-11-17 09:49:12,completed @ 2017-11-17 09:49:13
s9-main-128workers,write,write,8940,1144320000,800.58,795.5,550,1240,1840,2920,6150,7390,75.48,9661260.93,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:46:46,submitting @ 2017-11-17 09:46:46,authing @ 2017-11-17 09:46:47,launching @ 2017-11-17 09:46:47,running @ 2017-11-17 09:46:47,closing @ 2017-11-17 09:49:12,completed @ 2017-11-17 09:49:13
s10-main-256workers,read,read,23758,3041024000,676.21,669.86,230,540,1130,5310,7170,8030,203.34,26027652.74,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:49:15,submitting @ 2017-11-17 09:49:15,authing @ 2017-11-17 09:49:16,launching @ 2017-11-17 09:49:16,running @ 2017-11-17 09:49:17,closing @ 2017-11-17 09:51:42,completed @ 2017-11-17 09:51:42
s10-main-256workers,write,write,10119,1295232000,1367.92,1362.72,500,1050,2190,10700,14080,15590,86.61,11086229.27,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:49:15,submitting @ 2017-11-17 09:49:15,authing @ 2017-11-17 09:49:16,launching @ 2017-11-17 09:49:16,running @ 2017-11-17 09:49:17,closing @ 2017-11-17 09:51:42,completed @ 2017-11-17 09:51:42
s11-main-512workers,read,read,26940,3448320000,1200.1,1192.96,570,720,1110,8200,10750,11480,237.15,30355084.04,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:51:45,submitting @ 2017-11-17 09:51:45,authing @ 2017-11-17 09:51:47,launching @ 2017-11-17 09:51:48,running @ 2017-11-17 09:51:48,closing @ 2017-11-17 09:54:13,completed @ 2017-11-17 09:54:13
s11-main-512workers,write,write,11668,1493504000,2215.38,2209.79,1360,1570,1900,13190,20930,22750,102.64,13137679.26,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:51:45,submitting @ 2017-11-17 09:51:45,authing @ 2017-11-17 09:51:47,launching @ 2017-11-17 09:51:48,running @ 2017-11-17 09:51:48,closing @ 2017-11-17 09:54:13,completed @ 2017-11-17 09:54:13
s12-cleanup,cleanup-delete,cleanup,14000,0,53.77,53.77,60,70,80,80,100,140,297.52,0,100%,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:54:15,submitting @ 2017-11-17 09:54:15,authing @ 2017-11-17 09:54:15,launching @ 2017-11-17 09:54:16,running @ 2017-11-17 09:54:16,closing @ 2017-11-17 09:55:06,completed @ 2017-11-17 09:55:06
s13-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-17 09:31:52,booting @ 2017-11-17 09:55:08,submitting @ 2017-11-17 09:55:08,authing @ 2017-11-17 09:55:08,launching @ 2017-11-17 09:55:09,running @ 2017-11-17 09:55:09,closing @ 2017-11-17 09:55:14,completed @ 2017-11-17 09:55:14
