Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
09:55:33,194,194000000,264.04,133.59,37.88,37881221.85,100%,0,0,0
09:55:38,220,220000000,262.11,141.96,42.08,42077872.1,100%,1,1,1
09:55:43,251,251000000,269.39,140.18,66.63,66634712.61,100%,2,2,2
09:55:48,263,263000000,279.17,162.45,60.8,60795610.48,100%,3,3,3
09:55:53,311,311000000,266.44,150.78,67.46,67456727.08,100%,4,4,4
09:55:58,301,301000000,274.54,166.2,58.27,58269001.19,100%,5,5,5
09:56:03,295,295000000,278.44,163.73,57.4,57395097.77,100%,6,6,6
09:56:08,295,295000000,281.53,174.41,56.91,56910477.43,100%,7,7,7
09:56:13,275,275000000,299.39,193.42,53.42,53422010.58,100%,8,8,8
09:56:18,283,283000000,290.87,180.74,55.09,55093382.38,100%,9,9,9
09:56:23,291,291000000,289.26,171.72,55.53,55529989.72,100%,10,10,10
09:56:28,292,292000000,282.68,185.37,56.6,56602369.68,100%,11,11,11
09:56:33,281,281000000,294.99,187.63,54.3,54296928.55,100%,12,12,12
09:56:38,287,287000000,295.45,198.22,54.58,54584048.1,100%,13,13,13
09:56:43,289,289000000,286.23,191.7,55.86,55863591.23,100%,14,14,14
09:56:48,286,286000000,288.72,194.15,55.43,55429839.76,100%,15,15,15
09:56:53,268,268000000,294.6,189.87,54.18,54182171.44,100%,16,16,16
09:56:58,194,194000000,221.62,145.11,80.33,80332600.39,100%,17,17,17
