Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 09:55:17,submitting @ 2017-11-17 09:55:17,authing @ 2017-11-17 09:55:17,launching @ 2017-11-17 09:55:17,running @ 2017-11-17 09:55:17,closing @ 2017-11-17 09:55:22,completed @ 2017-11-17 09:55:22
s2-prepare,prepare-write,prepare,5000,5000000000,279.49,171.87,260,330,430,580,830,2340,57.24,57237838.92,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 09:55:25,submitting @ 2017-11-17 09:55:25,authing @ 2017-11-17 09:55:25,launching @ 2017-11-17 09:55:25,running @ 2017-11-17 09:55:25,closing @ 2017-11-17 09:56:55,completed @ 2017-11-17 09:56:55
s3-main-1worker,read,read,1863,1863000000,37.54,12.12,40,40,40,50,50,160,15.53,15528235.05,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 09:56:58,submitting @ 2017-11-17 09:56:58,authing @ 2017-11-17 09:56:58,launching @ 2017-11-17 09:56:58,running @ 2017-11-17 09:56:58,closing @ 2017-11-17 09:59:18,completed @ 2017-11-17 09:59:18
s3-main-1worker,write,write,810,810000000,61.65,27.94,70,70,70,70,80,110,6.75,6751406.54,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 09:56:58,submitting @ 2017-11-17 09:56:58,authing @ 2017-11-17 09:56:58,launching @ 2017-11-17 09:56:58,running @ 2017-11-17 09:56:58,closing @ 2017-11-17 09:59:18,completed @ 2017-11-17 09:59:18
s4-main-4workers,read,read,4178,4178000000,76.03,28.48,70,80,110,220,310,920,34.84,34840070.6,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 09:59:21,submitting @ 2017-11-17 09:59:21,authing @ 2017-11-17 09:59:21,launching @ 2017-11-17 09:59:21,running @ 2017-11-17 09:59:21,closing @ 2017-11-17 10:01:41,completed @ 2017-11-17 10:01:41
s4-main-4workers,write,write,1829,1829000000,88.47,52.99,90,100,110,120,300,520,15.25,15251793.65,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 09:59:21,submitting @ 2017-11-17 09:59:21,authing @ 2017-11-17 09:59:21,launching @ 2017-11-17 09:59:21,running @ 2017-11-17 09:59:21,closing @ 2017-11-17 10:01:41,completed @ 2017-11-17 10:01:41
s5-main-8workers,read,read,4856,4856000000,136.63,54.56,120,170,300,350,550,880,40.53,40530327.77,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:01:44,submitting @ 2017-11-17 10:01:44,authing @ 2017-11-17 10:01:44,launching @ 2017-11-17 10:01:44,running @ 2017-11-17 10:01:44,closing @ 2017-11-17 10:04:04,completed @ 2017-11-17 10:04:04
s5-main-8workers,write,write,2011,2011000000,146.57,95.02,140,170,230,330,400,780,16.78,16784923.87,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:01:44,submitting @ 2017-11-17 10:01:44,authing @ 2017-11-17 10:01:44,launching @ 2017-11-17 10:01:44,running @ 2017-11-17 10:01:44,closing @ 2017-11-17 10:04:04,completed @ 2017-11-17 10:04:04
s6-main-16workers,read,read,4331,4331000000,276.83,93.47,300,360,440,540,730,1350,36.22,36219097.3,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:04:07,submitting @ 2017-11-17 10:04:07,authing @ 2017-11-17 10:04:07,launching @ 2017-11-17 10:04:07,running @ 2017-11-17 10:04:07,closing @ 2017-11-17 10:06:32,completed @ 2017-11-17 10:06:32
s6-main-16workers,write,write,1951,1951000000,365.95,253.15,420,480,530,600,800,1780,16.32,16315776.65,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:04:07,submitting @ 2017-11-17 10:04:07,authing @ 2017-11-17 10:04:07,launching @ 2017-11-17 10:04:07,running @ 2017-11-17 10:04:07,closing @ 2017-11-17 10:06:32,completed @ 2017-11-17 10:06:32
s7-main-32workers,read,read,5517,5517000000,447.53,200.61,450,640,810,980,1300,2270,46.26,46264004.56,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:06:35,submitting @ 2017-11-17 10:06:35,authing @ 2017-11-17 10:06:35,launching @ 2017-11-17 10:06:35,running @ 2017-11-17 10:06:35,closing @ 2017-11-17 10:08:55,completed @ 2017-11-17 10:08:55
s7-main-32workers,write,write,2333,2333000000,577.24,391.68,570,790,990,1180,1590,2350,19.56,19563406.3,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:06:35,submitting @ 2017-11-17 10:06:35,authing @ 2017-11-17 10:06:35,launching @ 2017-11-17 10:06:35,running @ 2017-11-17 10:06:35,closing @ 2017-11-17 10:08:55,completed @ 2017-11-17 10:08:55
s8-main-64workers,read,read,5740,5740000000,863.27,416.53,750,1330,1930,2470,3770,6350,48.56,48564573.24,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:08:58,submitting @ 2017-11-17 10:08:58,authing @ 2017-11-17 10:08:58,launching @ 2017-11-17 10:08:58,running @ 2017-11-17 10:08:59,closing @ 2017-11-17 10:11:24,completed @ 2017-11-17 10:11:24
s8-main-64workers,write,write,2420,2420000000,1078.51,855.05,930,1560,2240,3100,4900,10840,20.47,20473606.52,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:08:58,submitting @ 2017-11-17 10:08:58,authing @ 2017-11-17 10:08:58,launching @ 2017-11-17 10:08:58,running @ 2017-11-17 10:08:59,closing @ 2017-11-17 10:11:24,completed @ 2017-11-17 10:11:24
s9-main-128workers,read,read,5964,5964000000,1541.87,779.87,950,2600,4700,5800,7310,12900,51.8,51796156.22,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:11:26,submitting @ 2017-11-17 10:11:26,authing @ 2017-11-17 10:11:27,launching @ 2017-11-17 10:11:27,running @ 2017-11-17 10:11:27,closing @ 2017-11-17 10:13:52,completed @ 2017-11-17 10:13:52
s9-main-128workers,write,write,2519,2519000000,2202.51,1950.41,1270,3370,6420,9300,12520,20140,21.89,21892383.19,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:11:26,submitting @ 2017-11-17 10:11:26,authing @ 2017-11-17 10:11:27,launching @ 2017-11-17 10:11:27,running @ 2017-11-17 10:11:27,closing @ 2017-11-17 10:13:52,completed @ 2017-11-17 10:13:52
s10-main-256workers,read,read,5412,5412000000,3132.1,1583.99,950,1940,15190,17340,25550,44480,51.43,51433241.58,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:13:55,submitting @ 2017-11-17 10:13:55,authing @ 2017-11-17 10:13:56,launching @ 2017-11-17 10:13:56,running @ 2017-11-17 10:13:57,closing @ 2017-11-17 10:16:22,completed @ 2017-11-17 10:16:22
s10-main-256workers,write,write,2276,2276000000,4378.1,4120.15,1420,3000,16990,30170,30450,31230,21.66,21663790.91,100%,completed,waiting @ 2017-11-17 09:38:51,booting @ 2017-11-17 10:13:55,submitting @ 2017-11-17 10:13:55,authing @ 2017-11-17 10:13:56,launching @ 2017-11-17 10:13:56,running @ 2017-11-17 10:13:57,closing @ 2017-11-17 10:16:22,completed @ 2017-11-17 10:16:22
