Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
10:48:33,2034,0,39.68,39.68,403.75,0,100%,0,0,0
10:48:38,1823,0,44.16,44.16,362.68,0,100%,1,1,1
10:48:43,1319,0,53.68,53.68,341.53,0,100%,2,2,2
10:48:48,1274,0,55.19,55.19,273.34,0,100%,3,3,3
10:48:53,1051,0,57.33,57.33,222.85,0,100%,4,4,4
10:48:58,1217,0,57.86,57.86,295.4,0,100%,5,5,5
10:49:03,976,0,56.74,56.74,212.09,0,100%,6,6,6
10:49:08,1165,0,60.39,60.39,296.62,0,100%,7,7,7
10:49:13,1004,0,57.18,57.18,266.47,0,100%,8,8,8
10:49:18,853,0,31.7,31.7,322.57,0,100%,9,9,9
10:49:23,34,0,11.26,11.26,88.77,0,100%,10,10,10
