================================================== stage: s1-init ==================================================
---------------------------------- mission: M4C97E1EC05, driver: driver1 ----------------------------------
2017-11-17 10:20:06,946 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M4C97E1EC05.log
2017-11-17 10:20:07,161 [INFO] [NoneStorage] - performing PUT at /s3testqwer1
2017-11-17 10:20:07,240 [INFO] [NoneStorage] - performing PUT at /s3testqwer2
2017-11-17 10:20:07,267 [INFO] [NoneStorage] - performing PUT at /s3testqwer3
2017-11-17 10:20:07,296 [INFO] [NoneStorage] - performing PUT at /s3testqwer4
2017-11-17 10:20:07,326 [INFO] [NoneStorage] - performing PUT at /s3testqwer5
2017-11-17 10:20:07,354 [INFO] [NoneStorage] - performing PUT at /s3testqwer6
2017-11-17 10:20:07,382 [INFO] [NoneStorage] - performing PUT at /s3testqwer7
2017-11-17 10:20:07,410 [INFO] [NoneStorage] - performing PUT at /s3testqwer8
2017-11-17 10:20:07,439 [INFO] [NoneStorage] - performing PUT at /s3testqwer9
2017-11-17 10:20:07,467 [INFO] [NoneStorage] - performing PUT at /s3testqwer10
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: M3C97E3FC47, driver: driver1 ----------------------------------
2017-11-17 10:20:14,877 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M3C97E3FC47.log
2017-11-17 10:20:15,174 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects97
2017-11-17 10:20:15,176 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects470
2017-11-17 10:20:15,176 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects439
2017-11-17 10:20:15,176 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects408
2017-11-17 10:20:15,176 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects377
2017-11-17 10:20:15,175 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects346
2017-11-17 10:20:15,175 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects315
2017-11-17 10:20:15,175 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects284
2017-11-17 10:20:15,173 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects65
2017-11-17 10:20:15,174 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects253
2017-11-17 10:20:15,173 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects33
2017-11-17 10:20:15,174 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects222
2017-11-17 10:20:15,174 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects191
2017-11-17 10:20:15,173 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects1
2017-11-17 10:20:15,174 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects160
2017-11-17 10:20:15,174 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects129
2017-11-17 10:20:15,985 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects34
2017-11-17 10:20:16,005 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects254
2017-11-17 10:20:16,013 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects161
2017-11-17 10:20:16,034 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects130
2017-11-17 10:20:16,039 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects471
2017-11-17 10:20:16,059 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects285
2017-11-17 10:20:16,135 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects98
2017-11-17 10:20:16,259 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects316
2017-11-17 10:20:16,276 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects66
2017-11-17 10:20:16,302 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects378
2017-11-17 10:20:16,307 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects440
2017-11-17 10:20:16,308 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects409
