Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
11:26:16,12,6,96000000,48000000,275.25,286.33,19.67,31.17,2.39,1.19,19119697.27,9559848.64,100%,100%,0,0,0
11:26:21,11,7,88000000,56000000,276.18,282,15.73,22.57,2.19,1.4,17554358.67,11170955.52,100%,100%,1,1,1
11:26:26,0,0,N/A,N/A,0,0,N/A,2,2,2
11:26:31,13,6,104000000,48000000,273.54,277.67,13.31,22.83,4.98,2.3,39831482.19,18383761.01,100%,100%,3,3,3
11:26:36,11,7,88000000,56000000,276.45,290.14,13.18,23,2.17,1.38,17339901.48,11034482.76,100%,100%,4,4,4
11:26:41,12,5,96000000,40000000,302.17,288.2,12.67,23.6,2.37,0.99,18942383.58,7892659.83,100%,100%,5,5,5
11:26:46,13,4,104000000,32000000,315.31,274,13.62,23.75,2.5,0.77,20019249.28,6159769.01,100%,100%,6,6,6
11:26:51,11,7,88000000,56000000,298.18,282.71,12.82,24.29,2.09,1.33,16733219.24,10648412.25,100%,100%,7,7,7
11:26:56,12,6,96000000,48000000,297.08,279.83,12.42,24.67,2.29,1.14,18306636.16,9153318.08,100%,100%,8,8,8
11:27:01,12,6,96000000,48000000,295.08,278.83,12.58,24.33,2.3,1.15,18404907.98,9202453.99,100%,100%,9,9,9
11:27:06,8,10,64000000,80000000,287.62,285.3,12.75,23.9,1.55,1.94,12417539.77,15521924.72,100%,100%,10,10,10
11:27:11,12,4,96000000,32000000,325.75,277,13.17,26,2.39,0.8,19134941.2,6378313.73,100%,100%,11,11,11
11:27:16,14,4,112000000,32000000,289.57,285.5,12.93,24.75,2.69,0.77,21550894.75,6157398.5,100%,100%,12,12,12
11:27:21,14,5,112000000,40000000,259.36,275,12.93,24,2.8,1,22373152.22,7990411.51,100%,100%,13,13,13
11:27:26,16,3,128000000,24000000,265.81,279.33,12.75,23.67,3.14,0.59,25142408.17,4714201.53,100%,100%,14,14,14
11:27:31,11,7,88000000,56000000,280.09,292.43,12.73,23.86,2.14,1.36,17157340.61,10918307.66,100%,100%,15,15,15
11:27:36,10,8,80000000,64000000,289.7,276.75,12.9,24.25,1.96,1.56,15649452.27,12519561.82,100%,100%,16,16,16
11:27:41,12,6,96000000,48000000,280.83,285.33,13,24.5,2.36,1.18,18890200.71,9445100.35,100%,100%,17,17,17
11:27:46,10,9,80000000,72000000,270,280,12.8,24.44,1.92,1.72,15325670.5,13793103.45,100%,100%,18,18,18
11:27:51,13,4,104000000,32000000,304.38,286.25,12.54,25,2.55,0.78,20384163.07,6272050.18,100%,100%,19,19,19
11:27:56,12,7,96000000,56000000,274.25,287.57,12.58,25.57,2.26,1.32,18096135.72,10556079.17,100%,100%,20,20,20
11:28:01,13,5,104000000,40000000,302.38,291.4,12.85,24.6,2.41,0.93,19302152.93,7423904.97,100%,100%,21,21,21
11:28:06,10,8,80000000,64000000,297.6,285.38,12.7,25.12,1.9,1.52,15206234.56,12164987.64,100%,100%,22,22,22
11:28:11,14,5,112000000,40000000,275.29,274.2,13,24.6,2.68,0.96,21435406.7,7655502.39,100%,100%,23,23,23
11:28:16,12,7,96000000,56000000,257,283.43,13.58,24.57,2.37,1.38,18938646.68,11047543.89,100%,100%,24,24,24
11:28:21,14,5,112000000,40000000,257.71,290.6,13.07,24.8,2.77,0.99,22125642.04,7902015.01,100%,100%,25,25,25
11:28:26,15,3,120000000,24000000,279.67,288,13.33,25.33,2.97,0.59,23720102.79,4744020.56,100%,100%,26,26,26
11:28:31,3,1,24000000,8000000,252,290,14,25,2.87,0.96,22944550.67,7648183.56,100%,100%,27,27,27
