Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,1,8000000,6535,3051,0.01,93148.9,100%
write,write,3,24000000,26449.67,12452,0.03,279446.7,100%
read,read,5,40000000,6877.6,2424.2,0.05,438976.75,100%
write,write,2,16000000,28366,13409,0.02,175590.7,100%
read,read,2,16000000,9752,2643.5,0.02,180546.15,100%
write,write,3,24000000,23038.33,11483,0.03,270819.23,100%
read,read,5,40000000,6767.8,2534.8,0.05,436343.01,100%
write,write,2,16000000,28916,13082,0.02,174537.2,100%
read,read,4,32000000,7732.25,3424.25,0.04,347350.37,100%
write,write,2,16000000,30598.5,14695,0.02,173675.18,100%
read,read,11,88000000,8076.91,2936,0.09,744507.14,100%
write,write,1,8000000,29353,14670,0.01,67682.47,100%
read,read,9,72000000,7725.22,3087.44,0.1,805468.23,100%
write,write,1,8000000,19860,4613,0.01,89496.47,100%
read,read,8,64000000,6954.38,3167.38,0.07,584677.79,100%
write,write,2,16000000,26913,10505.5,0.02,146169.45,100%
read,read,8,64000000,7583.38,2763.88,0.09,720444.87,100%
write,write,1,8000000,28166,10250,0.01,90055.61,100%
read,read,6,48000000,8129,3395,0.06,495039.29,100%
write,write,2,16000000,24094,8050.5,0.02,165013.1,100%
read,read,8,64000000,7439.12,2831.75,0.07,596497.44,100%
write,write,2,16000000,23890,9937,0.02,149124.36,100%
read,read,5,40000000,7524.2,3368.2,0.05,369310.31,100%
write,write,3,24000000,23562.67,8380.67,0.03,221586.19,100%
read,read,8,64000000,8068.75,3070.25,0.07,572563.47,100%
write,write,2,16000000,23613.5,9554,0.02,143140.87,100%
read,read,4,32000000,8204,2938.25,0.04,283778.51,100%
write,write,3,24000000,26649.33,9574,0.03,212833.88,100%
read,read,2,16000000,8148.5,3928,0.02,167518.22,100%
write,write,3,24000000,26404.67,10095.67,0.03,251277.33,100%
read,read,6,48000000,7908.17,2927.17,0.06,493735.73,100%
write,write,2,16000000,24884.5,10079.5,0.02,164578.58,100%
read,read,7,56000000,7840,4144.29,0.06,515758.26,100%
write,write,2,16000000,26849,10121,0.02,147359.5,100%
read,read,5,40000000,7600.2,3175.4,0.06,447057.25,100%
write,write,2,16000000,25736.5,8833.5,0.02,178822.9,100%
read,read,7,56000000,8305,3577.14,0.06,491547.14,100%
write,write,2,16000000,27895.5,10681,0.02,140442.04,100%
read,read,5,40000000,7400,3509.4,0.04,340049.31,100%
write,write,3,24000000,26876.67,9823.33,0.03,204029.58,100%
read,read,8,64000000,7987.75,2485.75,0.07,548048.43,100%
write,write,2,16000000,26438,11919.5,0.02,137012.11,100%
read,read,5,40000000,7025.4,2812.6,0.06,461004.76,100%
write,write,2,16000000,25819.5,9786.5,0.02,184401.9,100%
read,read,5,40000000,8144,3279.6,0.05,436362.05,100%
write,write,2,16000000,25473.5,10119.5,0.02,174544.82,100%
read,read,8,64000000,9284.62,3639.75,0.08,601351.16,100%
write,write,1,8000000,32150,17475,0.01,75168.9,100%
read,read,2,16000000,8404.5,3771,0.02,136276.91,100%
write,write,4,32000000,25149.75,10263.5,0.03,272553.83,100%
read,read,5,40000000,8785.8,2900.6,0.07,546694.55,100%
write,write,1,8000000,29238,12008,0.01,109338.91,100%
read,read,11,88000000,7521.73,3564.82,0.1,796517.05,100%
write,write,1,8000000,27740,9869,0.01,72410.64,100%
read,read,5,40000000,8964,3131,0.04,342407.12,100%
write,write,3,24000000,24000,6942.67,0.03,205444.27,100%
read,read,4,32000000,9232.75,3872.75,0.04,353048.91,100%
write,write,2,16000000,26854,12376,0.02,176524.45,100%
read,read,5,40000000,7404.6,2646,0.06,446902.41,100%
write,write,2,16000000,26240.5,8702.5,0.02,178760.96,100%
read,read,1,8000000,5944,2170,0.01,89751.5,100%
write,write,3,24000000,27730.33,11168.33,0.03,269254.5,100%
read,read,6,48000000,7107,2789.33,0.06,477935.32,100%
write,write,2,16000000,28894.5,11231.5,0.02,159311.77,100%
read,read,8,64000000,6301.62,2697.62,0.08,641571.85,100%
write,write,2,16000000,24671,9630,0.02,160392.96,100%
read,read,7,56000000,7737.43,3057.57,0.09,680429.16,100%
write,write,1,8000000,28138,11083,0.01,97204.17,100%
read,read,5,40000000,8491.2,4064.8,0.05,418694.72,100%
write,write,2,16000000,26539.5,10278.5,0.02,167477.89,100%
read,read,3,24000000,9508,5299.67,0.03,205957.32,100%
write,write,3,24000000,29334.67,12688,0.03,205957.32,100%
read,read,6,48000000,7927.5,2351.17,0.06,485505.63,100%
write,write,2,16000000,25650,7927.5,0.02,161835.21,100%
read,read,4,32000000,9027,3283.25,0.05,371833.6,100%
write,write,2,16000000,24975.5,9352.5,0.02,185916.8,100%
read,read,5,40000000,7880.8,2882.2,0.05,423177.43,100%
write,write,2,16000000,27559.5,11476,0.02,169270.97,100%
read,read,2,16000000,9169,3854,0.02,156939.68,100%
write,write,3,24000000,27870.67,13722.67,0.03,235409.51,100%
read,read,2,16000000,7796,2794,0.02,163780.04,100%
