================================================== stage: s1-init ==================================================
---------------------------------- mission: M9C9B0695C7, driver: driver1 ----------------------------------
2017-11-17 11:15:02,277 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M9C9B0695C7.log
2017-11-17 11:15:02,493 [INFO] [NoneStorage] - performing PUT at /s3testqwer1
2017-11-17 11:15:02,572 [INFO] [NoneStorage] - performing PUT at /s3testqwer2
2017-11-17 11:15:02,599 [INFO] [NoneStorage] - performing PUT at /s3testqwer3
2017-11-17 11:15:02,625 [INFO] [NoneStorage] - performing PUT at /s3testqwer4
2017-11-17 11:15:02,650 [INFO] [NoneStorage] - performing PUT at /s3testqwer5
2017-11-17 11:15:02,688 [INFO] [NoneStorage] - performing PUT at /s3testqwer6
2017-11-17 11:15:02,713 [INFO] [NoneStorage] - performing PUT at /s3testqwer7
2017-11-17 11:15:02,741 [INFO] [NoneStorage] - performing PUT at /s3testqwer8
2017-11-17 11:15:02,767 [INFO] [NoneStorage] - performing PUT at /s3testqwer9
2017-11-17 11:15:02,792 [INFO] [NoneStorage] - performing PUT at /s3testqwer10
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: M8C9B087A29, driver: driver1 ----------------------------------
2017-11-17 11:15:10,208 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M8C9B087A29.log
2017-11-17 11:15:10,507 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects97
2017-11-17 11:15:10,509 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects377
2017-11-17 11:15:10,510 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects408
2017-11-17 11:15:10,511 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects470
2017-11-17 11:15:10,509 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects346
2017-11-17 11:15:10,509 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects315
2017-11-17 11:15:10,509 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects284
2017-11-17 11:15:10,509 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects253
2017-11-17 11:15:10,509 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects222
2017-11-17 11:15:10,506 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects33
2017-11-17 11:15:10,508 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects191
2017-11-17 11:15:10,508 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects160
2017-11-17 11:15:10,507 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects129
2017-11-17 11:15:10,506 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects1
2017-11-17 11:15:10,507 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects65
2017-11-17 11:15:10,510 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects439
2017-11-17 11:15:11,868 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects98
2017-11-17 11:15:11,873 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects409
2017-11-17 11:15:12,046 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects285
2017-11-17 11:15:12,086 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects2
2017-11-17 11:15:12,222 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects471
2017-11-17 11:15:12,259 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects347
2017-11-17 11:15:12,273 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects254
2017-11-17 11:15:12,415 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects130
2017-11-17 11:15:12,429 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects161
2017-11-17 11:15:12,629 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects192
2017-11-17 11:15:12,669 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects66
2017-11-17 11:15:12,722 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects316
2017-11-17 11:15:12,810 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects440
