Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,320,5120000000,4147.84,505.32,0.24,3857344.55,100%
prepare,write,320,5120000000,4137.75,773.31,0.24,3866716.11,100%
prepare,write,320,5120000000,4129.26,738.18,0.24,3874695.97,100%
prepare,write,320,5120000000,4155.84,430.46,0.24,3849901.95,100%
prepare,write,310,4960000000,4278.38,432.72,0.23,3739639.65,100%
prepare,write,310,4960000000,4223.45,551.27,0.24,3788275.14,100%
prepare,write,310,4960000000,4259.09,458.39,0.23,3756565.47,100%
prepare,write,310,4960000000,4224.28,867.05,0.24,3787517.23,100%
prepare,write,310,4960000000,4245.98,480.97,0.24,3768178.04,100%
prepare,write,310,4960000000,4282.16,517.71,0.23,3736346.52,100%
prepare,write,310,4960000000,4289.63,372.35,0.23,3729830.9,100%
prepare,write,310,4960000000,4166.71,461.9,0.24,3839841.45,100%
prepare,write,310,4960000000,4195.44,454.25,0.24,3813571.7,100%
prepare,write,310,4960000000,4178.26,512.33,0.24,3829249.44,100%
prepare,write,310,4960000000,4149,521.79,0.24,3856260.98,100%
prepare,write,310,4960000000,4184.24,618.03,0.24,3823791.07,100%
