Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
12:14:54,0,0,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0
12:14:59,17,7,272000000,112000000,921.82,1015.71,71.65,136.43,2.97,1.22,47464033.29,19529919.4,100%,100%,1,1,1
12:15:04,19,5,304000000,80000000,887.74,1058.2,52.79,101.2,3.47,0.87,55484064.67,13915725.5,100%,100%,2,2,2
12:15:09,15,8,240000000,128000000,1016,813.25,108.07,64.5,2.78,1.44,44491366.65,22966600.37,100%,100%,3,3,3
12:15:14,14,9,224000000,144000000,1034.14,875.78,96,78.67,2.51,1.61,40180900.9,25771426.49,100%,100%,4,4,4
12:15:19,18,5,288000000,80000000,931.33,981.2,58.11,106.2,3.3,0.93,52750638.06,14812209.78,100%,100%,5,5,5
12:15:24,16,7,256000000,112000000,900,1041.71,67.56,76.29,2.94,1.29,47102354.98,20682340.17,100%,100%,6,6,6
12:15:29,16,7,256000000,112000000,814,1147.29,60.56,155.86,3.03,1.33,48520532.67,21299760.83,100%,100%,7,7,7
12:15:34,15,8,240000000,128000000,938.4,979.25,49.53,169.12,2.75,1.46,43922529.89,23282356.09,100%,100%,8,8,8
12:15:39,16,2,256000000,32000000,851.12,1363.5,71.12,144,2.92,0.38,46664279.2,6006610.02,100%,100%,9,9,9
12:15:44,21,3,336000000,48000000,904.86,1202.33,89.57,169.33,4.59,0.71,73386720.36,11422458.17,100%,100%,10,10,10
12:15:49,13,5,208000000,80000000,847.23,971.8,41.69,123.8,2.47,0.94,39443828.11,14998128.4,100%,100%,11,11,11
12:15:54,7,5,112000000,80000000,926.57,965.4,46.14,174.6,1.91,1.23,30514398.7,19709063.57,100%,100%,12,12,12
12:15:59,18,5,288000000,80000000,947.89,904.6,68.94,112,4.93,1.5,78954238.19,24076442.33,100%,100%,13,13,13
12:16:04,18,6,288000000,96000000,941.06,815.5,34.39,89.83,3.28,1.14,52507601.25,18182193.48,100%,100%,14,14,14
12:16:09,18,5,288000000,80000000,954.44,783.2,46.78,79.4,3.42,0.94,54656423.55,15101215.8,100%,100%,15,15,15
12:16:14,19,5,304000000,80000000,882.37,1036,133.26,112.2,3.46,0.9,55344154.55,14436980.17,100%,100%,16,16,16
12:16:19,19,4,304000000,64000000,959.37,879.5,111.95,225.25,3.49,0.75,55792780.39,11945341.84,100%,100%,17,17,17
12:16:24,14,9,224000000,144000000,926.07,909.44,41.71,117.11,2.65,1.69,42430387.63,27022908.5,100%,100%,18,18,18
12:16:29,11,4,176000000,64000000,1123.18,1264.25,61.64,226.5,1.9,0.67,30339395.24,10792381.44,100%,100%,19,19,19
12:16:34,12,6,192000000,96000000,1202,1465.17,35.92,194.17,2.74,1.23,43775984.64,19646085.59,100%,100%,20,20,20
12:16:39,16,4,256000000,64000000,1076.75,1322.5,60.75,136.5,2.85,0.71,45608414.01,11398180.05,100%,100%,21,21,21
12:16:44,17,7,272000000,112000000,850.76,1054.14,63.41,94,3.06,1.33,48939172.21,21216971.76,100%,100%,22,22,22
12:16:49,7,4,112000000,64000000,857.43,1219.25,45.57,64.75,1.32,0.72,21138030.92,11477519.04,100%,100%,23,23,23
12:16:54,12,13,192000000,208000000,878.67,940.15,50.5,87.54,3.47,3.19,55511099.28,51113416.1,100%,100%,24,24,24
12:16:59,13,4,208000000,64000000,927.15,950.25,92.77,174.75,2.44,0.77,39042990.63,12290235.19,100%,100%,25,25,25
12:17:04,18,5,288000000,80000000,897.5,1012.2,42.78,70.6,3.96,1.3,63398136.43,20734475.95,100%,100%,26,26,26
12:17:09,13,3,208000000,48000000,1341.23,1759.67,41.85,185.33,2.3,0.52,36837494.33,8294604.95,100%,100%,27,27,27
12:17:14,8,2,128000000,32000000,1194.38,1552,25.62,144,2.53,0.65,40430567.84,10343654.63,100%,100%,28,28,28
