================================================== stage: s1-init ==================================================
---------------------------------- mission: M9C9D05E4E6, driver: driver1 ----------------------------------
2017-11-17 11:49:57,140 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M9C9D05E4E6.log
2017-11-17 11:49:57,355 [INFO] [NoneStorage] - performing PUT at /s3testqwer1
2017-11-17 11:49:57,428 [INFO] [NoneStorage] - performing PUT at /s3testqwer2
2017-11-17 11:49:57,451 [INFO] [NoneStorage] - performing PUT at /s3testqwer3
2017-11-17 11:49:57,475 [INFO] [NoneStorage] - performing PUT at /s3testqwer4
2017-11-17 11:49:57,499 [INFO] [NoneStorage] - performing PUT at /s3testqwer5
2017-11-17 11:49:57,521 [INFO] [NoneStorage] - performing PUT at /s3testqwer6
2017-11-17 11:49:57,544 [INFO] [NoneStorage] - performing PUT at /s3testqwer7
2017-11-17 11:49:57,565 [INFO] [NoneStorage] - performing PUT at /s3testqwer8
2017-11-17 11:49:57,589 [INFO] [NoneStorage] - performing PUT at /s3testqwer9
2017-11-17 11:49:57,612 [INFO] [NoneStorage] - performing PUT at /s3testqwer10
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: M4C9D07F539, driver: driver1 ----------------------------------
2017-11-17 11:50:05,071 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M4C9D07F539.log
2017-11-17 11:50:05,381 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects33
2017-11-17 11:50:05,384 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects377
2017-11-17 11:50:05,384 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects346
2017-11-17 11:50:05,385 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects408
2017-11-17 11:50:05,386 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects439
2017-11-17 11:50:05,386 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects470
2017-11-17 11:50:05,384 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects315
2017-11-17 11:50:05,384 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects284
2017-11-17 11:50:05,383 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects65
2017-11-17 11:50:05,383 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects253
2017-11-17 11:50:05,383 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects222
2017-11-17 11:50:05,383 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects191
2017-11-17 11:50:05,382 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects160
2017-11-17 11:50:05,382 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects129
2017-11-17 11:50:05,382 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects97
2017-11-17 11:50:05,381 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects1
2017-11-17 11:50:07,389 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects409
2017-11-17 11:50:07,628 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects98
2017-11-17 11:50:07,748 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects223
2017-11-17 11:50:08,715 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects285
2017-11-17 11:50:08,899 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects254
2017-11-17 11:50:09,155 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects66
2017-11-17 11:50:09,179 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects34
2017-11-17 11:50:09,347 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects440
2017-11-17 11:50:09,441 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects192
2017-11-17 11:50:09,874 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects130
2017-11-17 11:50:09,955 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects347
2017-11-17 11:50:10,125 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects2
2017-11-17 11:50:10,197 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects316
2017-11-17 11:50:10,291 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects161
2017-11-17 11:50:10,478 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects471
2017-11-17 11:50:10,972 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects410
2017-11-17 11:50:11,464 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects378
2017-11-17 11:50:11,846 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects99
2017-11-17 11:50:12,356 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects472
2017-11-17 11:50:12,606 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects67
2017-11-17 11:50:12,708 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects255
2017-11-17 11:50:12,892 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects286
2017-11-17 11:50:12,912 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects224
