Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w35-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w35-s2-prepare-1,prepare-write,6000,24000000,16,69.59,69.59,80,90,100,110,120,190,229.87,919463.85,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(4)KB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(4)KB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(4)KB createContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(4)KB
w35-s3-main-1worker-1,read,4483,17932000,1,7.37,6.87,10,10,20,20,20,90,74.72,298896.56,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w35-s3-main-1worker-2,write,1880,7520000,1,14.2,14.2,20,20,20,20,30,220,31.34,125345.87,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(301-400) sizes=c(4)KB
w35-s4-main-4workers-1,read,9094,36376000,4,15.23,14.6,20,20,30,30,30,280,151.6,606406.35,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w35-s4-main-4workers-2,write,3871,15484000,4,26.06,26.06,30,40,40,40,50,300,64.53,258127.72,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(401-500) sizes=c(4)KB
w35-s5-main-8workers-1,read,9993,39972000,8,29.06,28.17,40,40,40,50,50,90,166.6,666412.55,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w35-s5-main-8workers-2,write,4125,16500000,8,45.81,45.81,50,60,60,70,80,110,68.77,275086.87,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(501-600) sizes=c(4)KB
w35-s6-main-16workers-1,read,11207,44828000,16,51.91,50.6,60,70,70,80,90,140,186.89,747552.86,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w35-s6-main-16workers-2,write,4740,18960000,16,79.55,79.54,90,100,110,110,130,160,79.04,316178.15,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(601-700) sizes=c(4)KB
w35-s7-main-32workers-1,read,11772,47088000,32,96.13,94.26,110,120,130,150,170,310,196.46,785829.88,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w35-s7-main-32workers-2,write,5052,20208000,32,155.43,155.43,170,190,210,230,280,390,84.31,337240.44,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(701-800) sizes=c(4)KB
w35-s8-main-64workers-1,read,13102,52408000,64,140.38,139.41,150,220,280,340,440,630,218.94,875752.59,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w35-s8-main-64workers-2,write,5563,22252000,64,357.73,357.73,400,530,630,720,890,1120,92.96,371836.95,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(801-900) sizes=c(4)KB
