BlockSize(K),Bytes,Time(s),TransferRate(MB/s),TimeStamp
4,4096,0.00217881,1.9,2017-11-07 16:02:26
64,65536,0.000471309,139,2017-11-07 16:02:29
128,131072,0.000487447,269,2017-11-07 16:02:29
512,524288,0.000886759,591,2017-11-07 16:02:30
1024,1048576,0.00161137,651,2017-11-07 16:02:30
4096,4194304,0.00484149,866,2017-11-07 16:02:30
65536,67108864,0.0475699,1433.6,2017-11-07 16:02:30
131072,134217728,0.0831543,1638.4,2017-11-07 16:02:30
524288,536870912,1.27972,420,2017-11-07 16:02:30
1232896,1073741824,6.65474,161,2017-11-07 16:02:32
4,4096,0.000490087,8.4,2017-11-07 16:02:44
64,65536,0.000425038,154,2017-11-07 16:02:44
128,131072,0.000509949,257,2017-11-07 16:02:44
512,524288,0.000850625,616,2017-11-07 16:02:44
1024,1048576,0.00122223,858,2017-11-07 16:02:44
4096,4194304,0.00370166,1126.4,2017-11-07 16:02:44
65536,67108864,0.0471924,1433.6,2017-11-07 16:02:44
131072,134217728,0.130244,1024.0,2017-11-07 16:02:45
524288,536870912,3.52443,152,2017-11-07 16:02:45
1232896,1073741824,6.66162,161,2017-11-07 16:02:49
4,4096,0.000374009,11.0,2017-11-07 16:03:01
64,65536,0.000420489,156,2017-11-07 16:03:01
128,131072,0.000413988,317,2017-11-07 16:03:01
512,524288,0.000946597,554,2017-11-07 16:03:01
1024,1048576,0.00128545,816,2017-11-07 16:03:01
4096,4194304,0.00394761,1126.4,2017-11-07 16:03:01
65536,67108864,0.0440858,1536.0,2017-11-07 16:03:01
131072,134217728,0.101352,1331.2,2017-11-07 16:03:02
524288,536870912,3.50714,153,2017-11-07 16:03:02
1232896,1073741824,6.71317,160,2017-11-07 16:03:06
4,4096,0.000515862,7.9,2017-11-07 16:03:18
64,65536,0.000496272,132,2017-11-07 16:03:18
128,131072,0.000626206,209,2017-11-07 16:03:18
512,524288,0.00112589,466,2017-11-07 16:03:18
1024,1048576,0.00153257,684,2017-11-07 16:03:18
4096,4194304,0.00455505,921,2017-11-07 16:03:18
65536,67108864,0.0469963,1433.6,2017-11-07 16:03:18
131072,134217728,0.185686,723,2017-11-07 16:03:19
524288,536870912,3.71713,144,2017-11-07 16:03:19
1232896,1073741824,6.69985,160,2017-11-07 16:03:23
4,4096,0.000343511,11.9,2017-11-07 16:03:35
64,65536,0.000587826,111,2017-11-07 16:03:35
