BlockSize(K),Bytes,Time(s),TransferRate(MB/s),TimeStamp
4,4096,0.000482069,8.5,2017-11-07 17:06:35
64,65536,0.000475066,138,2017-11-07 17:06:39
128,131072,0.000555756,236,2017-11-07 17:06:39
512,524288,0.00106323,493,2017-11-07 17:06:39
1024,1048576,0.00304075,345,2017-11-07 17:06:40
4096,4194304,0.00565654,741,2017-11-07 17:06:40
65536,67108864,0.0516273,1331.2,2017-11-07 17:06:40
131072,134217728,0.104602,1331.2,2017-11-07 17:06:40
524288,536870912,0.450827,1228.8,2017-11-07 17:06:40
1232896,1073741824,1.72564,622,2017-11-07 17:06:41
4,4096,0.000273892,15.0,2017-11-07 17:06:46
64,65536,0.000324107,202,2017-11-07 17:06:46
128,131072,0.000387639,338,2017-11-07 17:06:46
512,524288,0.00107768,486,2017-11-07 17:06:46
1024,1048576,0.00269096,390,2017-11-07 17:06:46
4096,4194304,0.00501318,837,2017-11-07 17:06:46
65536,67108864,0.0606362,1126.4,2017-11-07 17:06:46
131072,134217728,0.120801,1126.4,2017-11-07 17:06:46
524288,536870912,0.475051,1126.4,2017-11-07 17:06:46
1232896,1073741824,2.04076,526,2017-11-07 17:06:48
4,4096,0.000252849,16.2,2017-11-07 17:06:53
64,65536,0.000320202,205,2017-11-07 17:06:53
128,131072,0.000370889,353,2017-11-07 17:06:53
512,524288,0.000816259,642,2017-11-07 17:06:53
1024,1048576,0.00316851,331,2017-11-07 17:06:53
4096,4194304,0.00433197,968,2017-11-07 17:06:53
65536,67108864,0.0652478,1024.0,2017-11-07 17:06:53
131072,134217728,0.152278,881,2017-11-07 17:06:53
524288,536870912,0.426444,1331.2,2017-11-07 17:06:54
1232896,1073741824,2.00477,536,2017-11-07 17:06:55
4,4096,0.000367746,11.1,2017-11-07 17:07:00
64,65536,0.000396974,165,2017-11-07 17:07:00
128,131072,0.000509262,257,2017-11-07 17:07:00
512,524288,0.000831863,630,2017-11-07 17:07:00
