Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,380,1520000,68.49,68.49,14.58,58313.51,100%
prepare,write,380,1520000,69.9,69.9,14.28,57136.41,100%
prepare,write,380,1520000,72.46,72.46,13.78,55130.39,100%
prepare,write,380,1520000,72.53,72.53,13.77,55090.43,100%
prepare,write,380,1520000,68.15,68.15,14.66,58637.45,100%
prepare,write,380,1520000,66.61,66.61,14.99,59972.38,100%
prepare,write,380,1520000,69.39,69.39,14.39,57573.58,100%
prepare,write,380,1520000,70.45,70.45,14.17,56699.49,100%
prepare,write,380,1520000,67.17,67.16,14.87,59465.59,100%
prepare,write,380,1520000,72.7,72.7,13.74,54972.88,100%
prepare,write,380,1520000,67.74,67.74,14.74,58958.15,100%
prepare,write,380,1520000,73.08,73.08,13.67,54676.26,100%
prepare,write,360,1440000,67.08,67.08,14.88,59531.19,100%
prepare,write,360,1440000,68.38,68.38,14.61,58436.82,100%
prepare,write,360,1440000,69.62,69.62,14.34,57370.52,100%
prepare,write,360,1440000,69.48,69.48,14.37,57498.8,100%
