Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
14:40:00,1315,0,61.2,61.2,261.36,0,100%,0,0,0
14:40:05,1183,0,68.17,68.17,234.6,0,100%,1,1,1
14:40:10,1025,0,68.72,68.72,203.71,0,100%,2,2,2
14:40:15,1092,0,69.27,69.27,244,0,100%,3,3,3
14:40:20,970,0,67.44,67.44,209.14,0,100%,4,4,4
14:40:25,961,0,68.16,68.16,235.42,0,100%,5,5,5
14:40:30,1021,0,69,69,244.42,0,100%,6,6,6
14:40:35,1138,0,70.77,70.77,253.16,0,100%,7,7,7
14:40:40,843,0,71.47,71.47,167.85,0,100%,8,8,8
14:40:45,1014,0,74.63,74.63,253.07,0,100%,9,9,9
14:40:50,1100,0,73.37,73.37,232.09,0,100%,10,10,10
14:40:55,1099,0,73.31,73.31,218.24,0,100%,11,11,11
14:41:00,1093,0,73.67,73.67,217.16,0,100%,12,12,12
14:41:05,1082,0,74.36,74.36,215.16,0,100%,13,13,13
14:41:10,1067,0,75.57,75.57,211.71,0,100%,14,14,14
14:41:15,1131,0,71.41,71.41,224.05,0,100%,15,15,15
14:41:20,1085,0,74.24,74.24,215.49,0,100%,16,16,16
14:41:25,1096,0,73.48,73.48,217.71,0,100%,17,17,17
14:41:30,1067,0,75.95,75.95,210.62,0,100%,18,18,18
14:41:35,1002,0,76.16,76.16,211.46,0,100%,19,19,19
14:41:40,904,0,72.84,72.84,193.7,0,100%,20,20,20
14:41:45,572,0,40.1,40.1,266.96,0,100%,21,21,21
