Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
14:30:13,352,147,1408000,588000,8.1,14.49,7.64,14.49,70.3,29.36,281206.31,117435.59,100%,100%,0,0,0
14:30:18,343,147,1372000,588000,8.17,14.86,7.61,14.86,68.57,29.39,274290.28,117552.98,100%,100%,1,1,1
14:30:23,359,162,1436000,648000,7.53,14.11,7.02,14.11,71.77,32.39,287085.17,129548.18,100%,100%,2,2,2
14:30:28,404,151,1616000,604000,7.19,13.75,6.67,13.75,80.8,30.2,323200,120800,100%,100%,3,3,3
14:30:33,338,172,1352000,688000,7.62,14.02,7.11,14.02,67.59,34.39,270345.93,137572.49,100%,100%,4,4,4
14:30:38,400,149,1600000,596000,7.38,13.6,6.85,13.6,79.94,29.78,319744.2,119104.72,100%,100%,5,5,5
14:30:43,426,150,1704000,600000,7,13.29,6.51,13.29,85.2,30,340800,120000,100%,100%,6,6,6
14:30:48,361,163,1444000,652000,7.45,13.99,6.93,13.99,72.16,32.58,288626.82,130321.81,100%,100%,7,7,7
14:30:53,443,162,1772000,648000,6.61,12.67,6.15,12.67,88.53,32.37,354116.71,129496.4,100%,100%,8,8,8
14:30:58,344,138,1376000,552000,7.1,18.45,6.5,18.45,68.7,27.56,274815.26,110245.66,100%,100%,9,9,9
14:31:03,372,166,1488000,664000,7.37,13.52,6.9,13.52,74.31,33.16,297243.31,132640.83,100%,100%,10,10,10
14:31:08,341,174,1364000,696000,7.28,14.2,6.8,14.2,68.56,34.98,274225.98,139927.62,100%,100%,11,11,11
,373.5833333,,,,7.4,,,,,,,,,,,,
