Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,1274,5096000,28.6,27.75,21.24,84953.16,100%
write,write,524,2096000,44.84,44.84,8.74,34941.49,100%
read,read,1252,5008000,28.34,27.46,20.87,83475.01,100%
write,write,540,2160000,45.27,45.27,9,36003.6,100%
read,read,1286,5144000,28.66,27.79,21.45,85790.53,100%
write,write,516,2064000,44.65,44.65,8.61,34422.95,100%
read,read,1253,5012000,29.06,28.16,20.89,83540.3,100%
write,write,520,2080000,45.21,45.21,8.67,34669.56,100%
read,read,1194,4776000,29.93,29.01,19.92,79667.72,100%
write,write,499,1996000,48.41,48.41,8.32,33294.97,100%
read,read,1194,4776000,30.61,29.65,19.9,79618.58,100%
write,write,490,1960000,47.7,47.7,8.17,32674.29,100%
read,read,1268,5072000,28.35,27.51,21.13,84534.74,100%
write,write,537,2148000,44.64,44.64,8.95,35800.6,100%
read,read,1272,5088000,29.06,28.15,21.21,84832.52,100%
write,write,499,1996000,46,46,8.32,33279.42,100%
