Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,37,2368000,534.76,531.65,0.64,40983.75,100%
write,write,18,1152000,2110.44,2108.06,0.31,19938.04,100%
read,read,48,3072000,703.6,700.33,0.81,51839.35,100%
write,write,16,1024000,1592.44,1590.38,0.27,17279.78,100%
read,read,46,2944000,608,603.8,0.77,49420.85,100%
write,write,16,1024000,1974.75,1972.5,0.27,17189.86,100%
read,read,48,3072000,712.56,708.02,0.81,51974.42,100%
write,write,15,960000,1660.07,1657.6,0.25,16242.01,100%
read,read,62,3968000,555.44,552.05,1.07,68611.35,100%
write,write,19,1216000,1231.11,1228.84,0.33,21026.06,100%
read,read,33,2112000,689.67,684.91,0.56,35864.08,100%
write,write,18,1152000,2007.06,2004.28,0.31,19562.23,100%
read,read,55,3520000,834.8,830.62,0.95,60821.79,100%
write,write,13,832000,919.92,917.31,0.22,14376.06,100%
read,read,46,2944000,735.28,731.83,0.78,49655.08,100%
write,write,17,1088000,1497.82,1495.06,0.29,18350.79,100%
read,read,50,3200000,667.4,663.16,0.85,54527.49,100%
write,write,17,1088000,1489.06,1486.88,0.29,18539.34,100%
read,read,43,2752000,840.98,837.72,0.72,45957.05,100%
write,write,12,768000,1976.5,1971.5,0.2,12825.22,100%
read,read,35,2240000,724.23,720.74,0.58,37390.04,100%
write,write,21,1344000,1645.71,1643.52,0.35,22434.02,100%
read,read,43,2752000,521.6,518.02,0.72,45895.73,100%
write,write,20,1280000,1876.55,1874,0.33,21346.85,100%
read,read,31,1984000,599.61,596.19,0.54,34260.65,100%
write,write,23,1472000,1709.61,1707.3,0.4,25419.19,100%
read,read,48,3072000,611.73,608.58,0.8,51223.9,100%
write,write,19,1216000,1610.84,1608.11,0.32,20276.13,100%
read,read,45,2880000,680.98,677,0.76,48524.06,100%
write,write,17,1088000,1688.59,1686.41,0.29,18331.31,100%
read,read,33,2112000,745.88,741.06,0.57,36533.47,100%
write,write,25,1600000,1327.76,1325.28,0.43,27676.87,100%
read,read,50,3200000,596.28,591.38,0.85,54351.52,100%
write,write,16,1024000,1816.31,1814.19,0.27,17392.49,100%
read,read,42,2688000,898.43,894.07,0.71,45505.33,100%
write,write,14,896000,1524,1521.21,0.24,15168.44,100%
read,read,34,2176000,951.44,941.32,0.57,36349.67,100%
write,write,17,1088000,1618.29,1615.94,0.28,18174.83,100%
read,read,44,2816000,718.2,714.8,0.73,46957.59,100%
write,write,19,1216000,1492.79,1490.74,0.32,20277.14,100%
read,read,44,2816000,777.07,774.02,0.75,48315.98,100%
write,write,12,768000,2007.42,2004.5,0.21,13177.08,100%
read,read,60,3840000,646.32,642.77,1.02,65465.33,100%
write,write,12,768000,1656.5,1653.92,0.2,13093.07,100%
read,read,37,2368000,857.81,854.65,0.62,39819.07,100%
write,write,18,1152000,1540.5,1538,0.3,19371.44,100%
read,read,39,2496000,887.21,883.95,0.66,41957.34,100%
write,write,14,896000,1777.57,1774.43,0.24,15061.61,100%
read,read,53,3392000,563.42,556.72,0.88,56534.28,100%
write,write,18,1152000,1674.28,1671.94,0.3,19200.32,100%
read,read,47,3008000,631.49,628.77,0.79,50282.5,100%
write,write,17,1088000,1772.94,1769.59,0.28,18187.29,100%
read,read,40,2560000,740.38,736.5,0.68,43573.73,100%
write,write,14,896000,2081.14,2078.5,0.24,15250.8,100%
read,read,47,3008000,626.13,623.26,0.8,51048.81,100%
write,write,17,1088000,1734.88,1732.88,0.29,18464.46,100%
read,read,33,2112000,721.58,717.03,0.56,35538.21,100%
write,write,21,1344000,1695.86,1693.29,0.35,22615.22,100%
read,read,56,3584000,664.64,660.59,0.98,62588.41,100%
write,write,13,832000,1541.54,1539,0.23,14529.45,100%
read,read,40,2560000,690.1,686.18,0.68,43391.3,100%
write,write,19,1216000,1652.11,1649.58,0.32,20610.87,100%
read,read,53,3392000,588.94,584.26,0.89,57174.64,100%
write,write,19,1216000,1479.58,1477.26,0.32,20496.57,100%
read,read,47,3008000,668.64,664.98,0.79,50550.37,100%
write,write,20,1280000,1403.8,1401.2,0.34,21510.8,100%
read,read,30,1920000,603.5,599.43,0.51,32708.13,100%
write,write,22,1408000,1845.23,1842.77,0.37,23985.96,100%
read,read,55,3520000,652.11,649.02,0.92,58937.78,100%
write,write,17,1088000,1403.29,1400.12,0.28,18217.13,100%
read,read,38,2432000,742.58,740.05,0.64,40956.55,100%
write,write,21,1344000,1483.71,1481.62,0.35,22633.88,100%
read,read,34,2176000,782.79,779.94,0.57,36316.91,100%
write,write,15,960000,2220,2217.33,0.25,16022.16,100%
read,read,49,3136000,524.43,520.16,0.82,52298.05,100%
write,write,26,1664000,1317.92,1315.38,0.43,27749.98,100%
read,read,44,2816000,677.52,674.77,0.74,47076.13,100%
write,write,13,832000,2308.15,2305.62,0.22,13908.86,100%
read,read,35,2240000,831.06,828.29,0.58,37336.44,100%
write,write,18,1152000,1717,1714.44,0.3,19201.6,100%
read,read,47,3008000,585.62,582.26,0.78,50218.71,100%
write,write,24,1536000,1348.83,1346.04,0.4,25643.59,100%
read,read,39,2496000,610.77,607.64,0.67,42835.81,100%
write,write,20,1280000,1722.4,1718.8,0.34,21967.08,100%
read,read,46,2944000,610.74,606.33,0.77,49158.43,100%
write,write,15,960000,2119.53,2116.13,0.25,16029.92,100%
read,read,41,2624000,512.27,507.1,0.7,44893.07,100%
write,write,23,1472000,1627.91,1625.7,0.39,25183.92,100%
read,read,59,3776000,633.51,629.95,1,64277.81,100%
write,write,18,1152000,1186.94,1184.72,0.31,19610.18,100%
read,read,34,2176000,818.24,812.41,0.6,38516,100%
write,write,15,960000,1911.53,1908.87,0.27,16992.35,100%
read,read,42,2688000,630.07,626.1,0.71,45269.29,100%
write,write,20,1280000,1645.6,1643.1,0.34,21556.81,100%
read,read,39,2496000,653.41,649.92,0.66,42255.67,100%
write,write,17,1088000,1975.59,1973.29,0.29,18419.14,100%
read,read,32,2048000,650.88,647.5,0.53,34170.35,100%
write,write,30,1920000,1303.43,1300.9,0.5,32034.7,100%
read,read,35,2240000,754.46,751.86,0.59,37645.16,100%
write,write,19,1216000,1741.89,1739.26,0.32,20435.94,100%
read,read,33,2112000,731.12,726.76,0.57,36396.22,100%
