Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
14:58:29,48,18,3072000,1152000,626.1,1421.67,623.31,1416.94,9.49,3.56,607321.47,227589.01,100%,100%,0,0,0
14:58:34,1007,431,64448000,27584000,744.92,1569.45,740.77,1566.11,176.04,73.99,11266442.24,4735187.42,100%,100%,1,1,1
14:58:39,1164,499,74496000,31936000,640.63,1526.52,637.23,1523.89,206.76,86.49,13232739.26,5535192.76,100%,100%,2,2,2
14:58:44,1082,500,69248000,32000000,614.07,1548.15,610.58,1545.76,185.95,85.5,11900531.41,5472065.16,100%,100%,3,3,3
14:58:49,1013,433,64832000,27712000,618.46,1585.2,615.08,1582.63,181.4,77.77,11609869.59,4977095.43,100%,100%,4,4,4
14:58:54,899,392,57536000,25088000,635.57,1678.11,631.84,1675.61,178.74,78.35,11439381.13,5014276.54,100%,100%,5,5,5
14:58:59,868,391,55552000,25024000,683.22,1592.61,679.35,1590.23,177.14,80.1,11336844.13,5126598.53,100%,100%,6,6,6
14:59:04,818,399,52352000,25536000,693.48,1659.61,690.12,1657.12,170.85,84.84,10934639.23,5429926.62,100%,100%,7,7,7
14:59:09,998,429,63872000,27456000,668.7,1654.51,665.17,1651.9,201.31,87.81,12884108.45,5620013.21,100%,100%,8,8,8
14:59:14,846,344,54144000,22016000,676.08,1797.94,672.24,1795.5,158.22,65.37,10125893.85,4183563.35,100%,100%,9,9,9
14:59:19,906,363,57984000,23232000,714.91,1834.8,710.65,1832.39,183.69,76.04,11755984.23,4866793.02,100%,100%,10,10,10
14:59:24,882,346,56448000,22144000,670.47,1809.85,666.27,1807.45,246.49,90.07,15775309.53,5764753.78,100%,100%,11,11,11
14:59:29,393,194,25152000,12416000,644.48,1353.64,640.5,1351.35,165.06,74.98,10563612.89,4798767.09,100%,100%,12,12,12
