Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,1500,0,71.21,71.21,14.04,0,100%
cleanup,delete,1500,0,71.12,71.12,14.06,0,100%
cleanup,delete,1500,0,71.52,71.52,13.98,0,100%
cleanup,delete,1500,0,71.38,71.38,14.01,0,100%
cleanup,delete,1500,0,62.81,62.81,15.92,0,100%
cleanup,delete,1500,0,66.35,66.35,15.07,0,100%
cleanup,delete,1500,0,68.23,68.23,14.65,0,100%
cleanup,delete,1500,0,68.16,68.16,14.67,0,100%
cleanup,delete,1500,0,69.19,69.19,14.45,0,100%
cleanup,delete,1500,0,69.25,69.25,14.44,0,100%
cleanup,delete,1500,0,70.13,70.13,14.26,0,100%
cleanup,delete,1500,0,69.86,69.86,14.31,0,100%
cleanup,delete,1500,0,70.48,70.48,14.19,0,100%
cleanup,delete,1500,0,69.61,69.61,14.36,0,100%
cleanup,delete,1500,0,70.07,70.07,14.27,0,100%
cleanup,delete,1500,0,69.44,69.44,14.4,0,100%
