Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
15:00:47,1237,0,65.16,65.16,245.5,0,100%,0,0,0
15:00:52,1212,0,66.53,66.53,240.5,0,100%,1,1,1
15:00:57,1305,0,61.86,61.86,258.62,0,100%,2,2,2
15:01:02,1038,0,67.82,67.82,206.44,0,100%,3,3,3
15:01:07,1037,0,68.03,68.03,235.7,0,100%,4,4,4
15:01:12,827,0,66.89,66.89,193.86,0,100%,5,5,5
15:01:17,967,0,67.69,67.69,263.9,0,100%,6,6,6
15:01:22,945,0,69.26,69.26,230.86,0,100%,7,7,7
15:01:27,1189,0,67.76,67.76,282.66,0,100%,8,8,8
15:01:32,1087,0,69.52,69.52,215.74,0,100%,9,9,9
15:01:37,1142,0,70.63,70.63,240.6,0,100%,10,10,10
15:01:42,1103,0,73.02,73.02,219.09,0,100%,11,11,11
15:01:47,1096,0,73.51,73.51,217.66,0,100%,12,12,12
15:01:52,1127,0,71.52,71.52,223.67,0,100%,13,13,13
15:01:57,1103,0,73.1,73.1,218.83,0,100%,14,14,14
15:02:02,1121,0,71.93,71.93,222.42,0,100%,15,15,15
15:02:07,1059,0,76.16,76.16,210.05,0,100%,16,16,16
15:02:12,1102,0,72.99,72.99,219.19,0,100%,17,17,17
15:02:17,1060,0,74.77,74.77,214.37,0,100%,18,18,18
15:02:22,967,0,76.88,76.88,195.72,0,100%,19,19,19
15:02:27,838,0,64.97,64.97,220.19,0,100%,20,20,20
15:02:32,169,0,28.65,28.65,170.03,0,100%,21,21,21
