Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
16:33:51,813,104064000,99.45,94.32,160.77,20578951.36,100%,0,0,0
16:33:56,780,99840000,103.69,99.18,154.21,19739178.41,100%,1,1,1
16:34:01,512,65536000,108.67,104,101.12,12942736.45,100%,2,2,2
16:34:06,457,58496000,110.53,105.91,138.02,17667088.55,100%,3,3,3
16:34:11,570,72960000,115.59,110.97,163.24,20894453.45,100%,4,4,4
16:34:16,636,81408000,111.5,107.05,152.13,19472495.46,100%,5,5,5
16:34:21,730,93440000,110.78,106.41,162.05,20743025.2,100%,6,6,6
16:34:26,665,85120000,109.98,105.49,145.87,18671411.21,100%,7,7,7
16:34:31,209,26752000,82.14,77.72,214.25,27423955.14,100%,8,8,8
