Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
16:34:39,245,125,31360000,16000000,11.53,17.25,8.22,13.17,48.96,24.98,6266986.41,3197442.05,100%,100%,0,0,0
16:34:44,286,108,36608000,13824000,10.94,17.32,7.74,13.23,57.05,21.54,7302613.21,2757630.16,100%,100%,1,1,1
16:34:49,264,112,33792000,14336000,11.14,18.27,7.9,14.19,52.69,22.36,6744910.18,2861477.05,100%,100%,2,2,2
16:34:54,272,111,34816000,14208000,11.15,17.66,7.71,13.23,54.35,22.18,6956243.76,2838761.24,100%,100%,3,3,3
16:34:59,260,107,33280000,13696000,11.6,18.51,8.13,14.38,51.84,21.34,6636091.72,2731006.98,100%,100%,4,4,4
16:35:04,262,116,33536000,14848000,11.19,17.8,7.86,13.61,52.28,23.15,6692476.55,2963081.22,100%,100%,5,5,5
16:35:09,249,121,31872000,15488000,11.25,18.02,8.1,13.97,49.76,24.18,6369304.56,3095123.9,100%,100%,6,6,6
16:35:14,236,123,30208000,15744000,11.49,18.47,8.1,14.19,47.17,24.59,6037977.21,3146911.85,100%,100%,7,7,7
16:35:19,267,112,34176000,14336000,11.12,18.12,7.99,13.99,53.2,22.32,6809324.57,2856345.89,100%,100%,8,8,8
16:35:24,250,118,32000000,15104000,11.39,18.2,8.23,13.95,49.85,23.53,6380857.43,3011764.71,100%,100%,9,9,9
16:35:29,259,108,33152000,13824000,11.54,18.53,8.26,14.37,51.7,21.56,6617165.67,2759281.44,100%,100%,10,10,10
16:35:34,259,112,33152000,14336000,11.16,17.71,7.99,13.54,52.95,22.9,6778163.97,2931097.93,100%,100%,11,11,11
