Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:33:35,submitting @ 2017-11-10 16:33:35,authing @ 2017-11-10 16:33:35,launching @ 2017-11-10 16:33:35,running @ 2017-11-10 16:33:35,closing @ 2017-11-10 16:33:40,completed @ 2017-11-10 16:33:40
s2-prepare,prepare-write,prepare,6000,768000000,106.87,102.28,120,130,140,150,180,340,149.63,19152399.91,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:33:43,submitting @ 2017-11-10 16:33:43,authing @ 2017-11-10 16:33:43,launching @ 2017-11-10 16:33:43,running @ 2017-11-10 16:33:43,closing @ 2017-11-10 16:34:28,completed @ 2017-11-10 16:34:28
s3-main-1worker,read,read,3109,397952000,11.29,8.01,20,20,20,20,20,30,51.82,6632533.33,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:34:31,submitting @ 2017-11-10 16:34:31,authing @ 2017-11-10 16:34:31,launching @ 2017-11-10 16:34:31,running @ 2017-11-10 16:34:31,closing @ 2017-11-10 16:35:31,completed @ 2017-11-10 16:35:31
s3-main-1worker,write,write,1373,175744000,17.99,13.81,20,20,30,30,30,80,22.88,2929066.67,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:34:31,submitting @ 2017-11-10 16:34:31,authing @ 2017-11-10 16:34:31,launching @ 2017-11-10 16:34:31,running @ 2017-11-10 16:34:31,closing @ 2017-11-10 16:35:31,completed @ 2017-11-10 16:35:31
s4-main-4workers,read,read,6451,825728000,22.36,17.65,30,30,30,40,60,280,107.56,13768090.9,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:35:34,submitting @ 2017-11-10 16:35:34,authing @ 2017-11-10 16:35:34,launching @ 2017-11-10 16:35:34,running @ 2017-11-10 16:35:34,closing @ 2017-11-10 16:36:34,completed @ 2017-11-10 16:36:34
s4-main-4workers,write,write,2749,351872000,34.69,30.36,40,50,50,50,60,270,45.84,5867022.86,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:35:34,submitting @ 2017-11-10 16:35:34,authing @ 2017-11-10 16:35:34,launching @ 2017-11-10 16:35:34,running @ 2017-11-10 16:35:34,closing @ 2017-11-10 16:36:34,completed @ 2017-11-10 16:36:34
s5-main-8workers,read,read,6764,865792000,41.68,34.98,50,60,60,70,100,290,112.79,14437594.36,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:36:37,submitting @ 2017-11-10 16:36:37,authing @ 2017-11-10 16:36:37,launching @ 2017-11-10 16:36:37,running @ 2017-11-10 16:36:37,closing @ 2017-11-10 16:37:37,completed @ 2017-11-10 16:37:37
s5-main-8workers,write,write,2951,377728000,66.92,62.32,70,80,90,100,110,290,49.21,6298805.61,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:36:37,submitting @ 2017-11-10 16:36:37,authing @ 2017-11-10 16:36:37,launching @ 2017-11-10 16:36:37,running @ 2017-11-10 16:36:37,closing @ 2017-11-10 16:37:37,completed @ 2017-11-10 16:37:37
s6-main-16workers,read,read,7434,951552000,74.54,64.31,80,90,100,110,140,510,124,15871699.74,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:37:40,submitting @ 2017-11-10 16:37:40,authing @ 2017-11-10 16:37:40,launching @ 2017-11-10 16:37:40,running @ 2017-11-10 16:37:40,closing @ 2017-11-10 16:38:40,completed @ 2017-11-10 16:38:40
s6-main-16workers,write,write,3260,417280000,124.18,119.42,130,150,160,170,190,300,54.38,6960063.6,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:37:40,submitting @ 2017-11-10 16:37:40,authing @ 2017-11-10 16:37:40,launching @ 2017-11-10 16:37:40,running @ 2017-11-10 16:37:40,closing @ 2017-11-10 16:38:40,completed @ 2017-11-10 16:38:40
s7-main-32workers,read,read,8057,1031296000,141.25,131.7,150,210,250,300,410,670,134.56,17223770.48,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:38:43,submitting @ 2017-11-10 16:38:43,authing @ 2017-11-10 16:38:43,launching @ 2017-11-10 16:38:43,running @ 2017-11-10 16:38:43,closing @ 2017-11-10 16:39:43,completed @ 2017-11-10 16:39:44
s7-main-32workers,write,write,3480,445440000,223.44,218.55,230,290,350,410,550,800,58.12,7439602.06,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:38:43,submitting @ 2017-11-10 16:38:43,authing @ 2017-11-10 16:38:43,launching @ 2017-11-10 16:38:43,running @ 2017-11-10 16:38:43,closing @ 2017-11-10 16:39:43,completed @ 2017-11-10 16:39:44
s8-main-64workers,read,read,8242,1054976000,269.89,260.97,250,430,600,790,1290,2040,138.07,17672637.9,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:39:46,submitting @ 2017-11-10 16:39:46,authing @ 2017-11-10 16:39:46,launching @ 2017-11-10 16:39:46,running @ 2017-11-10 16:39:47,closing @ 2017-11-10 16:40:47,completed @ 2017-11-10 16:40:47
s8-main-64workers,write,write,3402,435456000,468.92,462.94,390,660,990,1360,2330,3610,57,7295704.53,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:39:46,submitting @ 2017-11-10 16:39:46,authing @ 2017-11-10 16:39:46,launching @ 2017-11-10 16:39:46,running @ 2017-11-10 16:39:47,closing @ 2017-11-10 16:40:47,completed @ 2017-11-10 16:40:47
s9-main-128workers,read,read,8490,1086720000,448.44,439.63,550,840,1030,1170,1440,2350,142.98,18301560.23,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:40:49,submitting @ 2017-11-10 16:40:49,authing @ 2017-11-10 16:40:50,launching @ 2017-11-10 16:40:50,running @ 2017-11-10 16:40:50,closing @ 2017-11-10 16:41:55,completed @ 2017-11-10 16:41:55
s9-main-128workers,write,write,3534,452352000,1073.34,1067.88,1260,1780,2140,2470,3030,4370,59.52,7618471.6,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:40:49,submitting @ 2017-11-10 16:40:49,authing @ 2017-11-10 16:40:50,launching @ 2017-11-10 16:40:50,running @ 2017-11-10 16:40:50,closing @ 2017-11-10 16:41:55,completed @ 2017-11-10 16:41:55
s10-main-256workers,read,read,8398,1074944000,850.1,840.94,1120,1700,2030,2300,2760,4200,143.49,18366712.91,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:41:58,submitting @ 2017-11-10 16:41:58,authing @ 2017-11-10 16:41:59,launching @ 2017-11-10 16:41:59,running @ 2017-11-10 16:42:00,closing @ 2017-11-10 16:43:05,completed @ 2017-11-10 16:43:05
s10-main-256workers,write,write,3455,442240000,2273.19,2265.75,2680,3940,4760,5370,6290,7920,58.99,7550234.14,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:41:58,submitting @ 2017-11-10 16:41:58,authing @ 2017-11-10 16:41:59,launching @ 2017-11-10 16:41:59,running @ 2017-11-10 16:42:00,closing @ 2017-11-10 16:43:05,completed @ 2017-11-10 16:43:05
s11-main-512workers,read,read,7890,1009920000,1811.75,1804.13,2260,3250,3900,4390,5490,6920,138.15,17682935.33,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:43:07,submitting @ 2017-11-10 16:43:07,authing @ 2017-11-10 16:43:10,launching @ 2017-11-10 16:43:10,running @ 2017-11-10 16:43:10,closing @ 2017-11-10 16:44:15,completed @ 2017-11-10 16:44:16
s11-main-512workers,write,write,3158,404224000,4728.6,4719.49,5500,7550,9190,10350,12430,15080,55.32,7081116.17,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:43:07,submitting @ 2017-11-10 16:43:07,authing @ 2017-11-10 16:43:10,launching @ 2017-11-10 16:43:10,running @ 2017-11-10 16:43:10,closing @ 2017-11-10 16:44:15,completed @ 2017-11-10 16:44:16
s12-cleanup,cleanup-delete,cleanup,24000,0,67.94,67.94,80,90,100,100,120,180,235.76,0,100%,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:44:18,submitting @ 2017-11-10 16:44:18,authing @ 2017-11-10 16:44:18,launching @ 2017-11-10 16:44:18,running @ 2017-11-10 16:44:18,closing @ 2017-11-10 16:46:08,completed @ 2017-11-10 16:46:09
s13-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-10 16:33:35,booting @ 2017-11-10 16:46:11,submitting @ 2017-11-10 16:46:11,authing @ 2017-11-10 16:46:11,launching @ 2017-11-10 16:46:11,running @ 2017-11-10 16:46:11,closing @ 2017-11-10 16:46:16,completed @ 2017-11-10 16:46:16
