Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,1,4000000,14100,5455,0.07,283687.94,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,20417,9639.5,0.05,195910.37,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17896.33,10206.33,0.06,223509.47,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,15674,5807,0.06,255199.69,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,20297,7715.5,0.05,197073.46,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,18565,6183,0.05,215459.2,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59724,30727,0.02,66974.75,100%
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19802.33,11307.67,0.05,201993,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18292,9303,0.05,218674.83,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,16159,11523.5,0.06,247540.07,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,19255.5,11166.5,0.05,207732.86,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17604,11553.67,0.06,227221.09,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19536,9473.33,0.05,204746.71,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,21970,7355,0.05,182066.45,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16846,10673,0.06,237440.39,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,30691,9384,0.03,130331.37,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,23307,10751,0.04,171618.58,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,17905,7419,0.06,223401.28,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,16117.5,11393,0.06,248177.45,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16819.33,11708.33,0.06,237821.55,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,12655,4944,0.08,316080.6,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,12037,5032,0.08,332308.71,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16894.33,10218.33,0.06,236761.11,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17943.67,8983.33,0.06,222919.88,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59760,30992,0.02,66934.4,100%
read,read,2,8000000,24456.5,13539.5,0.04,163555.7,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19857.33,10784.67,0.05,201436.92,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,14402,5539,0.07,277739.2,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,8193,2596,0.12,488221.65,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18545,7669,0.05,215691.56,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,20910.5,10613.5,0.05,191291.46,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,8776,3298,0.11,455788.51,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17036.67,9951.67,0.06,234787.71,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,17008,5707,0.06,235183.44,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,17226.5,10875.5,0.06,232200.39,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,17157,5919,0.06,233140.99,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,28882,12658.5,0.03,138494.56,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59214,31175,0.02,67551.59,100%
read,read,3,12000000,17834.33,10629.33,0.06,224286.49,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,21000,10405.5,0.05,190476.19,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,22295,13811,0.04,179412.42,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,17079,7150.5,0.06,234205.75,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16889.67,12332.33,0.06,236826.52,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59663,31695,0.02,67043.23,100%
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19806.67,10411.33,0.05,201948.81,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,16539.5,7803,0.06,241845.28,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,6746,2595,0.15,592943.97,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59365,30897,0.02,67379.77,100%
read,read,1,4000000,14580,5420,0.07,274348.42,100%
write,write,0,0,N/A,N/A,0,0,N/A
