Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,1500,0,58.85,58.85,16.99,0,100%
cleanup,delete,1500,0,58.57,58.57,17.07,0,100%
cleanup,delete,1500,0,58.73,58.73,17.03,0,100%
cleanup,delete,1500,0,59.11,59.11,16.92,0,100%
cleanup,delete,1500,0,45.55,45.55,21.95,0,100%
cleanup,delete,1500,0,49.24,49.24,20.31,0,100%
cleanup,delete,1500,0,48.39,48.39,20.66,0,100%
cleanup,delete,1500,0,47.39,47.39,21.1,0,100%
cleanup,delete,1500,0,48.03,48.03,20.82,0,100%
cleanup,delete,1500,0,47.14,47.14,21.21,0,100%
cleanup,delete,1500,0,48.42,48.42,20.65,0,100%
cleanup,delete,1500,0,48.64,48.64,20.56,0,100%
cleanup,delete,1500,0,47.59,47.59,21.01,0,100%
cleanup,delete,1500,0,49.5,49.5,20.2,0,100%
cleanup,delete,1500,0,48.34,48.34,20.69,0,100%
cleanup,delete,1500,0,48.87,48.87,20.46,0,100%
