Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
17:08:37,45,16,180000000,64000000,235.42,294,49.27,102.56,8.85,3.12,35381385.01,12498999.22,100%,100%,0,0,0
17:08:42,42,15,168000000,60000000,279.57,250.53,54.1,61.27,8.11,2.92,32434871.38,11696849.81,100%,100%,1,1,1
17:08:47,29,11,116000000,44000000,265.31,281.27,29.62,66.91,7.89,3.11,31552668.44,12420279.42,100%,100%,2,2,2
17:08:52,54,24,216000000,96000000,283.91,200.71,51.24,64.67,15.7,7.35,62791313.38,29411836.92,100%,100%,3,3,3
17:08:57,49,28,196000000,112000000,288.29,213.96,45.9,57.82,9.74,5.57,38977985.08,22277266.03,100%,100%,4,4,4
17:09:02,55,26,220000000,104000000,273.78,220.31,48.75,60.12,10.57,4.97,42266672.54,19862867.99,100%,100%,5,5,5
17:09:07,51,26,204000000,104000000,270.94,248.46,44.04,70.04,10.07,5.13,40284311.14,20518158.97,100%,100%,6,6,6
17:09:12,56,23,224000000,92000000,256.79,272.87,42.11,82.26,10.87,4.46,43463200.02,17830583.21,100%,100%,7,7,7
17:09:17,57,25,228000000,100000000,263.54,225.6,45.77,79.72,11.04,4.84,44154442.73,19378227.73,100%,100%,8,8,8
17:09:22,65,17,260000000,68000000,258.15,249.35,36.72,102.82,12.4,3.2,49611708.17,12813337.9,100%,100%,9,9,9
17:09:27,50,30,200000000,120000000,275,222.83,39.6,68.93,9.81,5.85,39224961.01,23398434.95,100%,100%,10,10,10
17:09:32,48,20,192000000,80000000,271.1,219.8,66.35,71.15,11.41,4.27,45621645.7,17094841.44,100%,100%,11,11,11
17:09:37,20,6,80000000,24000000,291.15,299.83,60.75,108.83,5.25,1.57,20986451.3,6287126.81,100%,100%,12,12,12
