================================================== stage: s1-init ==================================================
---------------------------------- mission: MBA6E02D3CC, driver: driver1 ----------------------------------
2017-11-10 17:00:30,182 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/MBA6E02D3CC.log
2017-11-10 17:00:30,397 [INFO] [NoneStorage] - performing PUT at /s3testqwer1
2017-11-10 17:00:30,473 [INFO] [NoneStorage] - performing PUT at /s3testqwer2
2017-11-10 17:00:30,494 [INFO] [NoneStorage] - performing PUT at /s3testqwer3
2017-11-10 17:00:30,519 [INFO] [NoneStorage] - performing PUT at /s3testqwer4
2017-11-10 17:00:30,540 [INFO] [NoneStorage] - performing PUT at /s3testqwer5
2017-11-10 17:00:30,564 [INFO] [NoneStorage] - performing PUT at /s3testqwer6
2017-11-10 17:00:30,586 [INFO] [NoneStorage] - performing PUT at /s3testqwer7
2017-11-10 17:00:30,606 [INFO] [NoneStorage] - performing PUT at /s3testqwer8
2017-11-10 17:00:30,627 [INFO] [NoneStorage] - performing PUT at /s3testqwer9
2017-11-10 17:00:30,649 [INFO] [NoneStorage] - performing PUT at /s3testqwer10
2017-11-10 17:00:30,673 [INFO] [NoneStorage] - performing PUT at /s3testqwer11
2017-11-10 17:00:30,697 [INFO] [NoneStorage] - performing PUT at /s3testqwer12
2017-11-10 17:00:30,720 [INFO] [NoneStorage] - performing PUT at /s3testqwer13
2017-11-10 17:00:30,742 [INFO] [NoneStorage] - performing PUT at /s3testqwer14
2017-11-10 17:00:30,764 [INFO] [NoneStorage] - performing PUT at /s3testqwer15
2017-11-10 17:00:30,787 [INFO] [NoneStorage] - performing PUT at /s3testqwer16
2017-11-10 17:00:30,809 [INFO] [NoneStorage] - performing PUT at /s3testqwer17
2017-11-10 17:00:30,831 [INFO] [NoneStorage] - performing PUT at /s3testqwer18
2017-11-10 17:00:30,851 [INFO] [NoneStorage] - performing PUT at /s3testqwer19
2017-11-10 17:00:30,877 [INFO] [NoneStorage] - performing PUT at /s3testqwer20
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: MCA6E04A00D, driver: driver1 ----------------------------------
2017-11-10 17:00:38,114 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/MCA6E04A00D.log
2017-11-10 17:00:38,412 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects39
2017-11-10 17:00:38,414 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects153
2017-11-10 17:00:38,414 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects172
2017-11-10 17:00:38,413 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects134
2017-11-10 17:00:38,415 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects210
2017-11-10 17:00:38,415 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects229
2017-11-10 17:00:38,412 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects115
2017-11-10 17:00:38,416 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects247
2017-11-10 17:00:38,411 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects20
2017-11-10 17:00:38,412 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects96
2017-11-10 17:00:38,412 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects77
2017-11-10 17:00:38,412 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects58
2017-11-10 17:00:38,411 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects1
2017-11-10 17:00:38,416 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects265
2017-11-10 17:00:38,414 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects191
2017-11-10 17:00:38,422 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects283
2017-11-10 17:00:39,375 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects192
2017-11-10 17:00:39,399 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects230
2017-11-10 17:00:39,399 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects40
2017-11-10 17:00:39,417 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects116
2017-11-10 17:00:39,450 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects2
2017-11-10 17:00:39,471 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects248
2017-11-10 17:00:39,478 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects154
2017-11-10 17:00:39,478 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects135
2017-11-10 17:00:39,551 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects284
2017-11-10 17:00:39,634 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects21
2017-11-10 17:00:39,743 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects173
2017-11-10 17:00:39,786 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects266
2017-11-10 17:00:39,792 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects211
2017-11-10 17:00:39,819 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects78
2017-11-10 17:00:39,857 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects59
2017-11-10 17:00:40,004 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects97
2017-11-10 17:00:40,217 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects231
2017-11-10 17:00:40,244 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects193
2017-11-10 17:00:40,317 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects41
2017-11-10 17:00:40,327 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects136
2017-11-10 17:00:40,367 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects267
2017-11-10 17:00:40,519 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects155
2017-11-10 17:00:40,626 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects22
2017-11-10 17:00:40,645 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects79
2017-11-10 17:00:40,722 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects249
