Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
10:25:20,13,5,104000000,40000000,287.08,283.4,24.08,25.4,2.52,0.97,20194174.76,7766990.29,100%,100%,0,0,0
10:25:25,13,4,104000000,32000000,296.08,292.5,12.23,25,2.59,0.8,20717131.47,6374501.99,100%,100%,1,1,1
10:25:30,0,0,N/A,N/A,0,0,N/A,2,2,2
10:25:35,13,6,104000000,48000000,271.92,281.83,16.23,25.17,4.97,2.3,39793380.52,18366175.63,100%,100%,3,3,3
10:25:40,10,8,80000000,64000000,284.2,279.88,12.9,24.5,1.97,1.57,15738736.97,12590989.57,100%,100%,4,4,4
10:25:45,12,6,96000000,48000000,290.17,279.5,12.75,24.33,2.33,1.16,18601046.31,9300523.15,100%,100%,5,5,5
10:25:50,16,3,128000000,24000000,271.56,281.67,13.44,23.67,3.08,0.58,24648565.38,4621606.01,100%,100%,6,6,6
10:25:55,12,7,96000000,56000000,266,276.43,12.75,24.86,2.34,1.37,18724400.23,10922566.8,100%,100%,7,7,7
10:26:00,10,9,80000000,72000000,269.5,265.89,12.5,26,1.97,1.77,15723270.44,14150943.4,100%,100%,8,8,8
10:26:05,15,4,120000000,32000000,275.47,267.25,12.53,25.5,2.88,0.77,23068050.75,6151480.2,100%,100%,9,9,9
10:26:10,11,8,88000000,64000000,256.27,275.75,12.73,25,2.19,1.59,17505470.46,12731251.24,100%,100%,10,10,10
10:26:15,9,4,72000000,32000000,288.44,284.5,12.67,28.25,2.41,1.07,19277108.43,8567603.75,100%,100%,11,11,11
