================================================== stage: s1-init ==================================================
---------------------------------- mission: M5B4F52B4CB, driver: driver1 ----------------------------------
2017-11-13 10:38:06,870 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M5B4F52B4CB.log
2017-11-13 10:38:07,084 [INFO] [NoneStorage] - performing PUT at /s3testqwer1
2017-11-13 10:38:07,169 [INFO] [NoneStorage] - performing PUT at /s3testqwer2
2017-11-13 10:38:07,199 [INFO] [NoneStorage] - performing PUT at /s3testqwer3
2017-11-13 10:38:07,232 [INFO] [NoneStorage] - performing PUT at /s3testqwer4
2017-11-13 10:38:07,271 [INFO] [NoneStorage] - performing PUT at /s3testqwer5
2017-11-13 10:38:07,304 [INFO] [NoneStorage] - performing PUT at /s3testqwer6
2017-11-13 10:38:07,341 [INFO] [NoneStorage] - performing PUT at /s3testqwer7
2017-11-13 10:38:07,375 [INFO] [NoneStorage] - performing PUT at /s3testqwer8
2017-11-13 10:38:07,403 [INFO] [NoneStorage] - performing PUT at /s3testqwer9
2017-11-13 10:38:07,448 [INFO] [NoneStorage] - performing PUT at /s3testqwer10
2017-11-13 10:38:07,481 [INFO] [NoneStorage] - performing PUT at /s3testqwer11
2017-11-13 10:38:07,517 [INFO] [NoneStorage] - performing PUT at /s3testqwer12
2017-11-13 10:38:07,552 [INFO] [NoneStorage] - performing PUT at /s3testqwer13
2017-11-13 10:38:07,585 [INFO] [NoneStorage] - performing PUT at /s3testqwer14
2017-11-13 10:38:07,624 [INFO] [NoneStorage] - performing PUT at /s3testqwer15
2017-11-13 10:38:07,660 [INFO] [NoneStorage] - performing PUT at /s3testqwer16
2017-11-13 10:38:07,693 [INFO] [NoneStorage] - performing PUT at /s3testqwer17
2017-11-13 10:38:07,724 [INFO] [NoneStorage] - performing PUT at /s3testqwer18
2017-11-13 10:38:07,758 [INFO] [NoneStorage] - performing PUT at /s3testqwer19
2017-11-13 10:38:07,797 [INFO] [NoneStorage] - performing PUT at /s3testqwer20
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: M2B4F548519, driver: driver1 ----------------------------------
2017-11-13 10:38:14,801 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M2B4F548519.log
2017-11-13 10:38:15,106 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects39
2017-11-13 10:38:15,110 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects247
2017-11-13 10:38:15,109 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects229
2017-11-13 10:38:15,111 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects283
2017-11-13 10:38:15,109 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects210
2017-11-13 10:38:15,108 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects172
2017-11-13 10:38:15,109 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects191
2017-11-13 10:38:15,108 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects153
2017-11-13 10:38:15,108 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects134
2017-11-13 10:38:15,107 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects115
2017-11-13 10:38:15,105 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects1
2017-11-13 10:38:15,107 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects96
2017-11-13 10:38:15,107 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects77
2017-11-13 10:38:15,105 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects20
2017-11-13 10:38:15,107 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects58
2017-11-13 10:38:15,111 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects265
2017-11-13 10:38:26,180 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects59
2017-11-13 10:38:28,207 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects97
2017-11-13 10:38:28,847 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects266
2017-11-13 10:38:29,393 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects192
2017-11-13 10:38:30,112 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects248
2017-11-13 10:38:30,860 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects154
2017-11-13 10:38:31,510 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects230
2017-11-13 10:38:31,710 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects78
2017-11-13 10:38:31,954 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects40
2017-11-13 10:38:32,451 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects135
2017-11-13 10:38:32,522 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects21
2017-11-13 10:38:33,758 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects211
2017-11-13 10:38:33,951 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects116
2017-11-13 10:38:34,526 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects2
2017-11-13 10:38:35,034 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects284
2017-11-13 10:38:36,943 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects173
2017-11-13 10:38:38,040 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects60
2017-11-13 10:38:41,838 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects267
2017-11-13 10:38:42,414 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects98
2017-11-13 10:38:44,618 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects249
2017-11-13 10:38:45,502 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects231
2017-11-13 10:38:45,918 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects41
2017-11-13 10:38:46,485 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects155
2017-11-13 10:38:47,100 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects79
2017-11-13 10:38:47,285 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects193
2017-11-13 10:38:48,182 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects22
2017-11-13 10:38:50,433 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects117
2017-11-13 10:38:51,049 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects136
2017-11-13 10:38:51,192 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects285
2017-11-13 10:38:52,180 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects174
2017-11-13 10:38:53,067 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects3
2017-11-13 10:38:53,133 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects212
2017-11-13 10:38:56,583 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects250
2017-11-13 10:38:56,882 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects268
2017-11-13 10:38:57,162 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects99
2017-11-13 10:38:59,134 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects61
2017-11-13 10:38:59,570 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects194
2017-11-13 10:39:00,139 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects42
2017-11-13 10:39:02,968 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects80
2017-11-13 10:39:03,172 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects156
