================================================== stage: s1-init ==================================================
---------------------------------- mission: MCB5213E1DA, driver: driver1 ----------------------------------
2017-11-13 11:26:15,877 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/MCB5213E1DA.log
2017-11-13 11:26:16,096 [INFO] [NoneStorage] - performing PUT at /s3testqwer1
2017-11-13 11:26:17,194 [INFO] [NoneStorage] - performing PUT at /s3testqwer2
2017-11-13 11:26:17,206 [INFO] [NoneStorage] - performing PUT at /s3testqwer3
2017-11-13 11:26:17,218 [INFO] [NoneStorage] - performing PUT at /s3testqwer4
2017-11-13 11:26:17,229 [INFO] [NoneStorage] - performing PUT at /s3testqwer5
2017-11-13 11:26:17,233 [INFO] [NoneStorage] - performing PUT at /s3testqwer6
2017-11-13 11:26:17,238 [INFO] [NoneStorage] - performing PUT at /s3testqwer7
2017-11-13 11:26:17,245 [INFO] [NoneStorage] - performing PUT at /s3testqwer8
2017-11-13 11:26:17,249 [INFO] [NoneStorage] - performing PUT at /s3testqwer9
2017-11-13 11:26:17,253 [INFO] [NoneStorage] - performing PUT at /s3testqwer10
2017-11-13 11:26:17,257 [INFO] [NoneStorage] - performing PUT at /s3testqwer11
2017-11-13 11:26:17,261 [INFO] [NoneStorage] - performing PUT at /s3testqwer12
2017-11-13 11:26:17,265 [INFO] [NoneStorage] - performing PUT at /s3testqwer13
2017-11-13 11:26:17,269 [INFO] [NoneStorage] - performing PUT at /s3testqwer14
2017-11-13 11:26:17,273 [INFO] [NoneStorage] - performing PUT at /s3testqwer15
2017-11-13 11:26:17,276 [INFO] [NoneStorage] - performing PUT at /s3testqwer16
2017-11-13 11:26:17,290 [INFO] [NoneStorage] - performing PUT at /s3testqwer17
2017-11-13 11:26:17,299 [INFO] [NoneStorage] - performing PUT at /s3testqwer18
2017-11-13 11:26:17,306 [INFO] [NoneStorage] - performing PUT at /s3testqwer19
2017-11-13 11:26:17,310 [INFO] [NoneStorage] - performing PUT at /s3testqwer20
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: M4B5215F17C, driver: driver1 ----------------------------------
2017-11-13 11:26:23,818 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M4B5215F17C.log
2017-11-13 11:26:24,150 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects77
2017-11-13 11:26:24,153 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects247
2017-11-13 11:26:24,153 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects283
2017-11-13 11:26:24,153 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects265
2017-11-13 11:26:24,152 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects229
2017-11-13 11:26:24,152 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects210
2017-11-13 11:26:24,152 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects191
2017-11-13 11:26:24,152 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects172
2017-11-13 11:26:24,151 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects134
2017-11-13 11:26:24,151 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects153
2017-11-13 11:26:24,149 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects39
2017-11-13 11:26:24,149 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects20
2017-11-13 11:26:24,150 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects96
2017-11-13 11:26:24,150 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects115
2017-11-13 11:26:24,149 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects1
2017-11-13 11:26:24,150 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects58
2017-11-13 11:26:49,065 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects173
2017-11-13 11:26:49,200 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects211
2017-11-13 11:26:49,847 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects284
2017-11-13 11:26:50,476 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects97
