Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,380,6080000000,4004.95,561.84,0.25,3994953.74,100%
prepare,write,380,6080000000,4014.68,656.02,0.25,3985238.88,100%
prepare,write,380,6080000000,3939.01,463.22,0.25,4061817.12,100%
prepare,write,380,6080000000,4015.92,487.57,0.25,3984011.53,100%
prepare,write,380,6080000000,3984.93,468.94,0.25,4015014.04,100%
prepare,write,380,6080000000,4000.18,682.06,0.25,3999715.81,100%
prepare,write,380,6080000000,3984.94,473.46,0.25,4015006.09,100%
prepare,write,380,6080000000,4014.9,486.1,0.25,3985027.31,100%
prepare,write,380,6080000000,3981.57,700.58,0.25,4018431.91,100%
prepare,write,380,6080000000,4002.47,550.41,0.25,3997412.2,100%
prepare,write,380,6080000000,3816.34,480.06,0.26,4192371.95,100%
prepare,write,380,6080000000,3927.69,560.97,0.25,4073546.27,100%
prepare,write,360,5760000000,4093.84,661.76,0.24,3908174.19,100%
prepare,write,360,5760000000,4048.89,417.81,0.25,3951606.54,100%
prepare,write,360,5760000000,4058.02,754.06,0.25,3942688.64,100%
prepare,write,360,5760000000,4044.07,418.42,0.25,3956285.79,100%
