Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 11:33:03,submitting @ 2017-11-13 11:33:03,authing @ 2017-11-13 11:33:03,launching @ 2017-11-13 11:33:03,running @ 2017-11-13 11:33:03,closing @ 2017-11-13 11:33:08,completed @ 2017-11-13 11:33:08
s2-prepare,prepare-write,prepare,6000,96000000000,3994.9,551.3,4220,5010,5650,6140,7020,11050,4.01,64081302.01,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 11:33:11,submitting @ 2017-11-13 11:33:11,authing @ 2017-11-13 11:33:11,launching @ 2017-11-13 11:33:11,running @ 2017-11-13 11:33:11,closing @ 2017-11-13 11:58:37,completed @ 2017-11-13 11:58:37
s3-main-1worker,read,read,76,1216000000,547.78,19.16,550,640,680,730,770,830,1.27,20335808.42,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 11:58:39,submitting @ 2017-11-13 11:58:39,authing @ 2017-11-13 11:58:39,launching @ 2017-11-13 11:58:39,running @ 2017-11-13 11:58:39,closing @ 2017-11-13 11:59:44,completed @ 2017-11-13 11:59:44
s3-main-1worker,write,write,35,560000000,518.83,28.8,520,540,550,570,570,570,0.59,9365174.93,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 11:58:39,submitting @ 2017-11-13 11:58:39,authing @ 2017-11-13 11:58:39,launching @ 2017-11-13 11:58:39,running @ 2017-11-13 11:58:39,closing @ 2017-11-13 11:59:44,completed @ 2017-11-13 11:59:44
s4-main-4workers,read,read,168,2688000000,960.52,64.15,970,1130,1340,1400,1620,1850,2.82,45093794.44,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 11:59:47,submitting @ 2017-11-13 11:59:47,authing @ 2017-11-13 11:59:47,launching @ 2017-11-13 11:59:47,running @ 2017-11-13 11:59:47,closing @ 2017-11-13 12:00:52,completed @ 2017-11-13 12:00:52
s4-main-4workers,write,write,75,1200000000,1028.16,149.72,1070,1330,1480,1540,1700,1710,1.26,20124951.6,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 11:59:47,submitting @ 2017-11-13 11:59:47,authing @ 2017-11-13 11:59:47,launching @ 2017-11-13 11:59:47,running @ 2017-11-13 11:59:47,closing @ 2017-11-13 12:00:52,completed @ 2017-11-13 12:00:52
s5-main-8workers,read,read,185,2960000000,1529.94,151.78,1630,1860,2040,2150,2490,2800,3.14,50194486.8,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 12:00:55,submitting @ 2017-11-13 12:00:55,authing @ 2017-11-13 12:00:55,launching @ 2017-11-13 12:00:55,running @ 2017-11-13 12:00:55,closing @ 2017-11-13 12:02:00,completed @ 2017-11-13 12:02:00
s5-main-8workers,write,write,85,1360000000,2215.82,343.93,2320,2960,3420,3640,3860,4190,1.44,23100773.55,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 12:00:55,submitting @ 2017-11-13 12:00:55,authing @ 2017-11-13 12:00:55,launching @ 2017-11-13 12:00:55,running @ 2017-11-13 12:00:55,closing @ 2017-11-13 12:02:00,completed @ 2017-11-13 12:02:00
s6-main-16workers,read,read,202,3232000000,2845.61,404.6,2930,3530,4130,4520,5350,5940,3.46,55351643.81,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 12:02:03,submitting @ 2017-11-13 12:02:03,authing @ 2017-11-13 12:02:03,launching @ 2017-11-13 12:02:03,running @ 2017-11-13 12:02:03,closing @ 2017-11-13 12:03:08,completed @ 2017-11-13 12:03:08
s6-main-16workers,write,write,77,1232000000,4665.13,641.25,4910,5660,6170,6420,7710,9140,1.32,21104489.61,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 12:02:03,submitting @ 2017-11-13 12:02:03,authing @ 2017-11-13 12:02:03,launching @ 2017-11-13 12:02:03,running @ 2017-11-13 12:02:03,closing @ 2017-11-13 12:03:08,completed @ 2017-11-13 12:03:08
s7-main-32workers,read,read,203,3248000000,4936.03,738.48,5100,6190,6950,8000,10810,12700,3.66,58517694.82,100%,completed,waiting @ 2017-11-13 11:33:03,booting @ 2017-11-13 12:03:11,submitting @ 2017-11-13 12:03:11,authing @ 2017-11-13 12:03:11,launching @ 2017-11-13 12:03:11,running @ 2017-11-13 12:03:11,closing @ 2017-11-13 12:04:16,completed @ 2017-11-13 12:04:16
