================================================== stage: s1-init ==================================================
---------------------------------- mission: MAB527775FF, driver: driver1 ----------------------------------
2017-11-13 11:33:03,107 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/MAB527775FF.log
2017-11-13 11:33:03,322 [INFO] [NoneStorage] - performing PUT at /s3testqwer1
2017-11-13 11:33:03,379 [INFO] [NoneStorage] - performing PUT at /s3testqwer2
2017-11-13 11:33:03,384 [INFO] [NoneStorage] - performing PUT at /s3testqwer3
2017-11-13 11:33:03,390 [INFO] [NoneStorage] - performing PUT at /s3testqwer4
2017-11-13 11:33:03,396 [INFO] [NoneStorage] - performing PUT at /s3testqwer5
2017-11-13 11:33:03,401 [INFO] [NoneStorage] - performing PUT at /s3testqwer6
2017-11-13 11:33:03,407 [INFO] [NoneStorage] - performing PUT at /s3testqwer7
2017-11-13 11:33:03,413 [INFO] [NoneStorage] - performing PUT at /s3testqwer8
2017-11-13 11:33:03,418 [INFO] [NoneStorage] - performing PUT at /s3testqwer9
2017-11-13 11:33:03,424 [INFO] [NoneStorage] - performing PUT at /s3testqwer10
2017-11-13 11:33:03,429 [INFO] [NoneStorage] - performing PUT at /s3testqwer11
2017-11-13 11:33:03,435 [INFO] [NoneStorage] - performing PUT at /s3testqwer12
2017-11-13 11:33:03,441 [INFO] [NoneStorage] - performing PUT at /s3testqwer13
2017-11-13 11:33:03,446 [INFO] [NoneStorage] - performing PUT at /s3testqwer14
2017-11-13 11:33:03,452 [INFO] [NoneStorage] - performing PUT at /s3testqwer15
2017-11-13 11:33:03,457 [INFO] [NoneStorage] - performing PUT at /s3testqwer16
2017-11-13 11:33:03,462 [INFO] [NoneStorage] - performing PUT at /s3testqwer17
2017-11-13 11:33:03,467 [INFO] [NoneStorage] - performing PUT at /s3testqwer18
2017-11-13 11:33:03,472 [INFO] [NoneStorage] - performing PUT at /s3testqwer19
2017-11-13 11:33:03,477 [INFO] [NoneStorage] - performing PUT at /s3testqwer20
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: M3B52795A28, driver: driver1 ----------------------------------
2017-11-13 11:33:11,039 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M3B52795A28.log
2017-11-13 11:33:11,359 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects39
2017-11-13 11:33:11,361 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects283
2017-11-13 11:33:11,361 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects265
2017-11-13 11:33:11,361 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects247
2017-11-13 11:33:11,360 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects229
2017-11-13 11:33:11,360 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects210
2017-11-13 11:33:11,360 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects191
2017-11-13 11:33:11,360 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects172
2017-11-13 11:33:11,360 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects153
2017-11-13 11:33:11,360 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects134
2017-11-13 11:33:11,360 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects115
2017-11-13 11:33:11,360 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects96
2017-11-13 11:33:11,358 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects20
2017-11-13 11:33:11,359 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects77
2017-11-13 11:33:11,359 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects58
2017-11-13 11:33:11,358 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects1
2017-11-13 11:33:13,999 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects154
2017-11-13 11:33:14,221 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects21
2017-11-13 11:33:14,399 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects173
2017-11-13 11:33:14,663 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects192
2017-11-13 11:33:15,021 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects284
2017-11-13 11:33:15,047 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects78
2017-11-13 11:33:15,167 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects211
2017-11-13 11:33:15,349 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects2
2017-11-13 11:33:15,404 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects230
2017-11-13 11:33:15,899 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects116
2017-11-13 11:33:15,961 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects135
2017-11-13 11:33:16,318 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects59
2017-11-13 11:33:16,701 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects248
2017-11-13 11:33:16,797 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects266
2017-11-13 11:33:16,831 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects97
2017-11-13 11:33:17,292 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects155
2017-11-13 11:33:17,748 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects285
2017-11-13 11:33:17,778 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects40
2017-11-13 11:33:17,856 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects22
2017-11-13 11:33:18,187 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects212
2017-11-13 11:33:18,423 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects174
2017-11-13 11:33:18,484 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects79
2017-11-13 11:33:19,080 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects60
2017-11-13 11:33:19,530 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects249
2017-11-13 11:33:19,671 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects267
2017-11-13 11:33:19,727 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects231
2017-11-13 11:33:20,065 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects3
2017-11-13 11:33:20,073 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects136
2017-11-13 11:33:20,141 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects41
2017-11-13 11:33:20,146 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects193
2017-11-13 11:33:20,899 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects117
2017-11-13 11:33:21,154 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects175
2017-11-13 11:33:21,475 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects80
