================================================== stage: s1-init ==================================================
---------------------------------- mission: M3B584D4F81, driver: driver1 ----------------------------------
2017-11-13 13:15:02,442 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M3B584D4F81.log
2017-11-13 13:15:02,655 [INFO] [NoneStorage] - performing PUT at /s3testqwer1
2017-11-13 13:15:02,714 [INFO] [NoneStorage] - performing PUT at /s3testqwer2
2017-11-13 13:15:02,720 [INFO] [NoneStorage] - performing PUT at /s3testqwer3
2017-11-13 13:15:02,726 [INFO] [NoneStorage] - performing PUT at /s3testqwer4
2017-11-13 13:15:02,732 [INFO] [NoneStorage] - performing PUT at /s3testqwer5
2017-11-13 13:15:02,737 [INFO] [NoneStorage] - performing PUT at /s3testqwer6
2017-11-13 13:15:02,743 [INFO] [NoneStorage] - performing PUT at /s3testqwer7
2017-11-13 13:15:02,749 [INFO] [NoneStorage] - performing PUT at /s3testqwer8
2017-11-13 13:15:02,755 [INFO] [NoneStorage] - performing PUT at /s3testqwer9
2017-11-13 13:15:02,761 [INFO] [NoneStorage] - performing PUT at /s3testqwer10
2017-11-13 13:15:02,767 [INFO] [NoneStorage] - performing PUT at /s3testqwer11
2017-11-13 13:15:02,773 [INFO] [NoneStorage] - performing PUT at /s3testqwer12
2017-11-13 13:15:02,779 [INFO] [NoneStorage] - performing PUT at /s3testqwer13
2017-11-13 13:15:02,786 [INFO] [NoneStorage] - performing PUT at /s3testqwer14
2017-11-13 13:15:02,791 [INFO] [NoneStorage] - performing PUT at /s3testqwer15
2017-11-13 13:15:02,797 [INFO] [NoneStorage] - performing PUT at /s3testqwer16
2017-11-13 13:15:02,803 [INFO] [NoneStorage] - performing PUT at /s3testqwer17
2017-11-13 13:15:02,809 [INFO] [NoneStorage] - performing PUT at /s3testqwer18
2017-11-13 13:15:02,814 [INFO] [NoneStorage] - performing PUT at /s3testqwer19
2017-11-13 13:15:02,820 [INFO] [NoneStorage] - performing PUT at /s3testqwer20
================================================== stage: s2-prepare ==================================================
---------------------------------- mission: M5B584F5FF8, driver: driver1 ----------------------------------
2017-11-13 13:15:10,371 [INFO] [Log4jLogManager] - will append log to file /home/wbv77191/COSBench_Tests/cosbench/log/mission/M5B584F5FF8.log
2017-11-13 13:15:10,664 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects1
2017-11-13 13:15:10,670 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects96
2017-11-13 13:15:10,671 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects115
2017-11-13 13:15:10,671 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects134
2017-11-13 13:15:10,671 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects153
2017-11-13 13:15:10,668 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects20
2017-11-13 13:15:10,672 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects172
2017-11-13 13:15:10,673 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects191
2017-11-13 13:15:10,668 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects58
